# Результаты расчёта индикаторной диаграммы P–V
# Дата: Sun Nov  2 15:20:22 2025
# --------------------------------------------
# Параметры расчёта:
# Радиус кривошипа r = 0.02 м
# Диаметр цилиндра D = 0.12 м
# Степень сжатия ε = 17
# λ = 0.3
# n1 = 1.38, n2 = 1.22
# Давления: Pa=90000 Па, Pr=110000 Па
# --------------------------------------------

V[м^3];P[Па]
0.000213;276554.345041
0.000212;278597.982436
0.000211;280667.805067
0.000210;282764.291996
0.000209;284887.933706
0.000207;287039.232436
0.000206;289218.702527
0.000205;291426.870786
0.000204;293664.276853
0.000203;295931.473596
0.000202;298229.027503
0.000201;300557.519103
0.000199;302917.543389
0.000198;305309.710271
0.000197;307734.645032
0.000196;310192.988811
0.000195;312685.399095
0.000194;315212.550238
0.000193;317775.133994
0.000192;320373.860073
0.000190;323009.456714
0.000189;325682.671287
0.000188;328394.270910
0.000187;331145.043096
0.000186;333935.796423
0.000185;336767.361229
0.000184;339640.590339
0.000182;342556.359812
0.000181;345515.569731
0.000180;348519.145008
0.000179;351568.036241
0.000178;354663.220588
0.000177;357805.702685
0.000176;360996.515607
0.000175;364236.721856
0.000173;367527.414403
0.000172;370869.717765
0.000171;374264.789131
0.000170;377713.819540
0.000169;381218.035098
0.000168;384778.698260
0.000167;388397.109163
0.000165;392074.607013
0.000164;395812.571542
0.000163;399612.424520
0.000162;403475.631343
0.000161;407403.702687
0.000160;411398.196239
0.000159;415460.718507
0.000158;419592.926713
0.000156;423796.530774
0.000155;428073.295374
0.000154;432425.042137
0.000153;436853.651898
0.000152;441361.067085
0.000151;445949.294217
0.000150;450620.406517
0.000148;455376.546664
0.000147;460219.929664
0.000146;465152.845882
0.000145;470177.664205
0.000144;475296.835385
0.000143;480512.895534
0.000142;485828.469811
0.000141;491246.276288
0.000139;496769.130026
0.000138;502399.947360
0.000137;508141.750410
0.000136;513997.671837
0.000135;519970.959847
0.000134;526064.983471
0.000133;532283.238136
0.000131;538629.351538
0.000130;545107.089841
0.000129;551720.364230
0.000128;558473.237829
0.000127;565369.933016
0.000126;572414.839158
0.000125;579612.520800
0.000124;586967.726330
0.000122;594485.397156
0.000121;602170.677438
0.000120;610028.924400
0.000119;618065.719273
0.000118;626286.878913
0.000117;634698.468140
0.000116;643306.812842
0.000114;652118.513923
0.000113;661140.462135
0.000112;670379.853866
0.000111;679844.207963
0.000110;689541.383666
0.000109;699479.599730
0.000108;709667.454843
0.000107;720113.949424
0.000105;730828.508930
0.000104;741821.008778
0.000103;753101.801020
0.000102;764681.742915
0.000101;776572.227552
0.000100;788785.216709
0.000099;801333.276114
0.000097;814229.613341
0.000096;827488.118556
0.000095;841123.408362
0.000094;855150.873033
0.000093;869586.727427
0.000092;884448.065924
0.000091;899752.921761
0.000089;915520.331172
0.000088;931770.402789
0.000087;948524.392818
0.000086;965804.786543
0.000085;983635.386783
0.000084;1002041.410010
0.000083;1021049.590884
0.000082;1040688.296100
0.000080;1060987.648481
0.000079;1081979.662442
0.000078;1103698.392006
0.000077;1126180.092776
0.000076;1149463.399370
0.000075;1173589.520093
0.000074;1198602.450774
0.000072;1224549.210008
0.000071;1251480.098320
0.000070;1279448.984103
0.000069;1308513.619578
0.000068;1338735.990503
0.000067;1370182.703846
0.000066;1402925.418295
0.000065;1437041.323165
0.000063;1472613.672097
0.000062;1509732.378969
0.000061;1548494.684516
0.000060;1589005.903590
0.000059;1631380.264533
0.000058;1675741.854074
0.000057;1722225.683388
0.000055;1770978.893677
0.000054;1822162.122813
0.000053;1875951.058491
0.000052;1932538.207952
0.000051;1992134.920012
0.000050;2054973.701936
0.000049;2121310.882065
0.000048;2191429.679303
0.000046;2265643.753145
0.000045;2344301.323450
0.000044;2427789.968462
0.000043;2516542.233660
0.000042;2611042.214249
0.000041;2711833.312247
0.000040;2819527.417613
0.000038;2934815.824740
0.000037;3058482.275329
0.000036;3191418.621804
0.000035;3334643.740117
0.000034;3489326.497830
0.000033;3656813.818266
0.000032;3838665.195710
0.000031;4036695.440992
0.000029;4253028.015725
0.000028;4490162.111644
0.000028;4490162.111644
0.000028;8980324.223289
0.000028;8980324.223289
0.000040;8980324.223289
0.000040;8980324.223289
0.000041;8683565.076182
0.000042;8404179.809045
0.000043;8140731.005944
0.000044;7891933.201368
0.000045;7656633.496847
0.000046;7433795.053546
0.000047;7222482.977088
0.000048;7021852.201319
0.000050;6831137.049776
0.000051;6649642.211047
0.000052;6476734.910482
0.000053;6311838.097995
0.000054;6154424.502005
0.000055;6004011.424238
0.000056;5860156.170363
0.000057;5722452.028017
0.000058;5590524.717564
0.000059;5464029.252276
0.000061;5342647.154111
0.000062;5226083.979184
0.000063;5114067.113643
0.000064;5006343.806242
0.000065;4902679.408612
0.000066;4802855.798203
0.000067;4706669.962234
0.000068;4613932.723906
0.000069;4524467.594519
0.000071;4438109.737302
0.000072;4354705.030509
0.000073;4274109.218928
0.000074;4196187.144244
0.000075;4120812.045895
0.000076;4047864.925019
0.000077;3977233.964984
0.000078;3908814.002746
0.000079;3842506.045918
0.000080;3778216.831041
0.000082;3715858.419020
0.000083;3655347.824148
0.000084;3596606.673528
0.000085;3539560.894026
0.000086;3484140.424226
0.000087;3430278.949076
0.000088;3377913.655191
0.000089;3326985.004967
0.000090;3277436.527841
0.000092;3229214.627213
0.000093;3182268.401677
