# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:41 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];stroke1[м];stroke2[м];velocity_full[м/с];velocity1[м/с];velocity2[м/с];acceleration_full[м/с²];acceleration1[м/с²];acceleration2[м/с²]
221.000000;0.036385;0.035094;0.001291;-5.102136;-6.595425;1.493289;-3602.744299;-3813.726717;210.982418
222.000000;0.036206;0.034863;0.001343;-5.227131;-6.726835;1.499704;-3596.825122;-3755.287265;158.462144
223.000000;0.036022;0.034627;0.001395;-5.351904;-6.856195;1.504291;-3589.955109;-3695.703917;105.748808
224.000000;0.035834;0.034387;0.001448;-5.476422;-6.983468;1.507046;-3582.088188;-3634.994821;52.906633
225.000000;0.035642;0.034142;0.001500;-5.600648;-7.108613;1.507964;-3573.178470;-3573.178470;0.000000
226.000000;0.035446;0.033893;0.001552;-5.724547;-7.231592;1.507046;-3563.180328;-3510.273695;-52.906633
227.000000;0.035245;0.033640;0.001605;-5.848078;-7.352369;1.504291;-3552.048464;-3446.299656;-105.748808
228.000000;0.035039;0.033383;0.001657;-5.971203;-7.470907;1.499704;-3539.737985;-3381.275841;-158.462144
229.000000;0.034830;0.033121;0.001709;-6.093879;-7.587168;1.493289;-3526.204475;-3315.222057;-210.982418
230.000000;0.034616;0.032856;0.001760;-6.216064;-7.701119;1.485055;-3511.404066;-3248.158424;-263.245643
231.000000;0.034398;0.032586;0.001812;-6.337712;-7.812723;1.475012;-3495.293513;-3180.105370;-315.188143
232.000000;0.034176;0.032313;0.001863;-6.458777;-7.921948;1.463171;-3477.830261;-3111.083626;-366.746635
233.000000;0.033950;0.032036;0.001913;-6.579211;-8.028760;1.449548;-3458.972518;-3041.114215;-417.858303
234.000000;0.033719;0.031756;0.001964;-6.698966;-8.133126;1.434159;-3438.679326;-2970.218451;-468.460875
235.000000;0.033485;0.031472;0.002013;-6.817991;-8.235015;1.417023;-3416.910630;-2898.417931;-518.492699
236.000000;0.033246;0.031184;0.002062;-6.936234;-8.334395;1.398160;-3393.627344;-2825.734523;-567.892820
237.000000;0.033003;0.030893;0.002110;-7.053642;-8.431236;1.377594;-3368.791422;-2752.190370;-616.601052
238.000000;0.032756;0.030598;0.002158;-7.170160;-8.525509;1.355349;-3342.365923;-2677.807873;-664.558049
239.000000;0.032505;0.030301;0.002204;-7.285732;-8.617186;1.331454;-3314.315075;-2602.609690;-711.705385
240.000000;0.032250;0.030000;0.002250;-7.400301;-8.706237;1.305936;-3284.604345;-2526.618727;-757.985618
241.000000;0.031991;0.029696;0.002295;-7.513810;-8.792636;1.278826;-3253.200493;-2449.858131;-803.342362
242.000000;0.031728;0.029389;0.002339;-7.626198;-8.876357;1.250159;-3220.071641;-2372.351284;-847.720357
243.000000;0.031461;0.029080;0.002382;-7.737406;-8.957375;1.219969;-3185.187332;-2294.121797;-891.065535
244.000000;0.031191;0.028767;0.002423;-7.847371;-9.035663;1.188292;-3148.518585;-2215.193497;-933.325088
245.000000;0.030917;0.028452;0.002464;-7.956032;-9.111200;1.155168;-3110.037956;-2135.590429;-974.447527
246.000000;0.030638;0.028135;0.002504;-8.063325;-9.183961;1.120636;-3069.719591;-2055.336838;-1014.382752
247.000000;0.030357;0.027815;0.002542;-8.169185;-9.253924;1.084739;-3027.539281;-1974.457173;-1053.082108
248.000000;0.030071;0.027492;0.002579;-8.273549;-9.321069;1.047520;-2983.474514;-1892.976068;-1090.498446
249.000000;0.029782;0.027167;0.002615;-8.376349;-9.385374;1.009025;-2937.504524;-1810.918345;-1126.586180
250.000000;0.029489;0.026840;0.002649;-8.477520;-9.446821;0.969301;-2889.610339;-1728.308998;-1161.301341
251.000000;0.029193;0.026511;0.002682;-8.576994;-9.505389;0.928396;-2839.774828;-1645.173192;-1194.601636
252.000000;0.028894;0.026180;0.002714;-8.674704;-9.561063;0.886359;-2787.982743;-1561.536250;-1226.446493
253.000000;0.028591;0.025847;0.002744;-8.770581;-9.613824;0.843243;-2734.220762;-1477.423649;-1256.797114
254.000000;0.028285;0.025513;0.002772;-8.864557;-9.663657;0.799099;-2678.477530;-1392.861010;-1285.616521
255.000000;0.027975;0.025176;0.002799;-8.956563;-9.710546;0.753982;-2620.743694;-1307.874092;-1312.869602
256.000000;0.027663;0.024838;0.002824;-9.046530;-9.754477;0.707946;-2561.011937;-1222.488784;-1338.523154
257.000000;0.027347;0.024499;0.002848;-9.134388;-9.795436;0.661048;-2499.277014;-1136.731093;-1362.545921
258.000000;0.027029;0.024158;0.002870;-9.220068;-9.833412;0.613344;-2435.535780;-1050.627143;-1384.908637
259.000000;0.026707;0.023816;0.002891;-9.303499;-9.868393;0.564893;-2369.787216;-964.203162;-1405.584054
260.000000;0.026383;0.023473;0.002910;-9.384613;-9.900367;0.515754;-2302.032459;-877.485475;-1424.546984
261.000000;0.026055;0.023129;0.002927;-9.463340;-9.929326;0.465987;-2232.274820;-790.500498;-1441.774323
262.000000;0.025725;0.022783;0.002942;-9.539609;-9.955260;0.415651;-2160.519808;-703.274726;-1457.245081
263.000000;0.025393;0.022437;0.002955;-9.613353;-9.978162;0.364810;-2086.775142;-615.834731;-1470.940411
264.000000;0.025058;0.022091;0.002967;-9.684501;-9.998025;0.313523;-2011.050773;-528.207146;-1482.843627
265.000000;0.024720;0.021743;0.002977;-9.752986;-10.014841;0.261855;-1933.358890;-440.418664;-1492.940227
266.000000;0.024381;0.021395;0.002985;-9.818740;-10.028608;0.209868;-1853.713934;-352.496026;-1501.217908
267.000000;0.024039;0.021047;0.002992;-9.881694;-10.039319;0.157625;-1772.132601;-264.466014;-1507.666587
268.000000;0.023694;0.020698;0.002996;-9.941782;-10.046972;0.105190;-1688.633850;-176.355444;-1512.278406
269.000000;0.023348;0.020349;0.002999;-9.998938;-10.051565;0.052627;-1603.238901;-88.191154;-1515.047747
270.000000;0.023000;0.020000;0.003000;-10.053096;-10.053096;0.000000;-1515.971236;-0.000000;-1515.971236
271.000000;0.022650;0.019651;0.002999;-10.104193;-10.051565;-0.052627;-1426.856593;88.191154;-1515.047747
272.000000;0.022298;0.019302;0.002996;-10.152163;-10.046972;-0.105190;-1335.922962;176.355444;-1512.278406
273.000000;0.021945;0.018953;0.002992;-10.196944;-10.039319;-0.157625;-1243.200573;264.466014;-1507.666587
274.000000;0.021590;0.018605;0.002985;-10.238476;-10.028608;-0.209868;-1148.721882;352.496026;-1501.217908
275.000000;0.021234;0.018257;0.002977;-10.276697;-10.014841;-0.261855;-1052.521563;440.418664;-1492.940227
276.000000;0.020877;0.017909;0.002967;-10.311548;-9.998025;-0.313523;-954.636482;528.207146;-1482.843627
277.000000;0.020518;0.017563;0.002955;-10.342972;-9.978162;-0.364810;-855.105681;615.834731;-1470.940411
278.000000;0.020158;0.017217;0.002942;-10.370912;-9.955260;-0.415651;-753.970355;703.274726;-1457.245081
279.000000;0.019798;0.016871;0.002927;-10.395313;-9.929326;-0.465987;-651.273825;790.500498;-1441.774323
280.000000;0.019437;0.016527;0.002910;-10.416122;-9.900367;-0.515754;-547.061509;877.485475;-1424.546984
281.000000;0.019075;0.016184;0.002891;-10.433286;-9.868393;-0.564893;-441.380892;964.203162;-1405.584054
282.000000;0.018712;0.015842;0.002870;-10.446757;-9.833412;-0.613344;-334.281494;1050.627143;-1384.908637
283.000000;0.018349;0.015501;0.002848;-10.456484;-9.795436;-0.661048;-225.814828;1136.731093;-1362.545921
284.000000;0.017986;0.015162;0.002824;-10.462423;-9.754477;-0.707946;-116.034370;1222.488784;-1338.523154
285.000000;0.017623;0.014824;0.002799;-10.464528;-9.710546;-0.753982;-4.995509;1307.874092;-1312.869602
286.000000;0.017259;0.014487;0.002772;-10.462756;-9.663657;-0.799099;107.244489;1392.861010;-1285.616521
287.000000;0.016896;0.014153;0.002744;-10.457067;-9.613824;-0.843243;220.626535;1477.423649;-1256.797114
288.000000;0.016533;0.013820;0.002714;-10.447422;-9.561063;-0.886359;335.089757;1561.536250;-1226.446493
289.000000;0.016171;0.013489;0.002682;-10.433785;-9.505389;-0.928396;450.571556;1645.173192;-1194.601636
290.000000;0.015809;0.013160;0.002649;-10.416121;-9.446821;-0.969301;567.007657;1728.308998;-1161.301341
291.000000;0.015447;0.012833;0.002615;-10.394399;-9.385374;-1.009025;684.332165;1810.918345;-1126.586180
292.000000;0.015087;0.012508;0.002579;-10.368589;-9.321069;-1.047520;802.477622;1892.976068;-1090.498446
293.000000;0.014727;0.012185;0.002542;-10.338663;-9.253924;-1.084739;921.375064;1974.457173;-1053.082108
294.000000;0.014369;0.011865;0.002504;-10.304597;-9.183961;-1.120636;1040.954086;2055.336838;-1014.382752
295.000000;0.014012;0.011548;0.002464;-10.266367;-9.111200;-1.155168;1161.142902;2135.590429;-974.447527
296.000000;0.013656;0.011233;0.002423;-10.223955;-9.035663;-1.188292;1281.868410;2215.193497;-933.325088
297.000000;0.013302;0.010920;0.002382;-10.177343;-8.957375;-1.219969;1403.056261;2294.121797;-891.065535
298.000000;0.012949;0.010611;0.002339;-10.126517;-8.876357;-1.250159;1524.630927;2372.351284;-847.720357
299.000000;0.012599;0.010304;0.002295;-10.071463;-8.792636;-1.278826;1646.515769;2449.858131;-803.342362
300.000000;0.012250;0.010000;0.002250;-10.012172;-8.706237;-1.305936;1768.633109;2526.618727;-757.985618
301.000000;0.011903;0.009699;0.002204;-9.948639;-8.617186;-1.331454;1890.904305;2602.609690;-711.705385
302.000000;0.011559;0.009402;0.002158;-9.880859;-8.525509;-1.355349;2013.249824;2677.807873;-664.558049
303.000000;0.011217;0.009107;0.002110;-9.808830;-8.431236;-1.377594;2135.589319;2752.190370;-616.601052
304.000000;0.010878;0.008816;0.002062;-9.732555;-8.334395;-1.398160;2257.841703;2825.734523;-567.892820
305.000000;0.010542;0.008528;0.002013;-9.652038;-8.235015;-1.417023;2379.925231;2898.417931;-518.492699
306.000000;0.010208;0.008244;0.001964;-9.567285;-8.133126;-1.434159;2501.757577;2970.218451;-468.460875
307.000000;0.009877;0.007964;0.001913;-9.478308;-8.028760;-1.449548;2623.255912;3041.114215;-417.858303
308.000000;0.009550;0.007687;0.001863;-9.385120;-7.921948;-1.463171;2744.336991;3111.083626;-366.746635
309.000000;0.009225;0.007414;0.001812;-9.287735;-7.812723;-1.475012;2864.917227;3180.105370;-315.188143
310.000000;0.008905;0.007144;0.001760;-9.186174;-7.701119;-1.485055;2984.912781;3248.158424;-263.245643
311.000000;0.008588;0.006879;0.001709;-9.080457;-7.587168;-1.493289;3104.239639;3315.222057;-210.982418
312.000000;0.008274;0.006617;0.001657;-8.970610;-7.470907;-1.499704;3222.813698;3381.275841;-158.462144
313.000000;0.007965;0.006360;0.001605;-8.856660;-7.352369;-1.504291;3340.550848;3446.299656;-105.748808
314.000000;0.007659;0.006107;0.001552;-8.738638;-7.231592;-1.507046;3457.367062;3510.273695;-52.906633
315.000000;0.007358;0.005858;0.001500;-8.616577;-7.108613;-1.507964;3573.178470;3573.178470;-0.000000
316.000000;0.007061;0.005613;0.001448;-8.490513;-6.983468;-1.507046;3687.901454;3634.994821;52.906633
317.000000;0.006768;0.005373;0.001395;-8.360486;-6.856195;-1.504291;3801.452724;3695.703917;105.748808
318.000000;0.006480;0.005137;0.001343;-8.226538;-6.726835;-1.499704;3913.749409;3755.287265;158.462144
319.000000;0.006197;0.004906;0.001291;-8.088714;-6.595425;-1.493289;4024.709135;3813.726717;210.982418
320.000000;0.005919;0.004679;0.001240;-7.947061;-6.462006;-1.485055;4134.250113;3871.004471;263.245643
321.000000;0.005645;0.004457;0.001188;-7.801630;-6.326619;-1.475012;4242.291222;3927.103079;315.188143
322.000000;0.005377;0.004240;0.001137;-7.652476;-6.189304;-1.463171;4348.752089;3982.005454;366.746635
323.000000;0.005114;0.004027;0.001087;-7.499653;-6.050104;-1.449548;4453.553174;4035.694871;417.858303
324.000000;0.004856;0.003820;0.001036;-7.343221;-5.909062;-1.434159;4556.615851;4088.154976;468.460875
325.000000;0.004604;0.003617;0.000987;-7.183242;-5.766219;-1.417023;4657.862490;4139.369790;518.492699
326.000000;0.004357;0.003419;0.000938;-7.019781;-5.621620;-1.398160;4757.216532;4189.323712;567.892820
327.000000;0.004116;0.003227;0.000890;-6.852903;-5.475309;-1.377594;4854.602577;4238.001525;616.601052
328.000000;0.003881;0.003039;0.000842;-6.682679;-5.327329;-1.355349;4949.946451;4285.388402;664.558049
329.000000;0.003652;0.002857;0.000796;-6.509181;-5.177727;-1.331454;5043.175293;4331.469908;711.705385
330.000000;0.003429;0.002679;0.000750;-6.332484;-5.026548;-1.305936;5134.217624;4376.232006;757.985618
331.000000;0.003213;0.002508;0.000705;-6.152664;-4.873838;-1.278826;5223.003424;4419.661062;803.342362
332.000000;0.003002;0.002341;0.000661;-5.969802;-4.719643;-1.250159;5309.464203;4461.743846;847.720357
333.000000;0.002798;0.002180;0.000618;-5.783979;-4.564010;-1.219969;5393.533075;4502.467539;891.065535
334.000000;0.002601;0.002024;0.000577;-5.595280;-4.406987;-1.188292;5475.144825;4541.819738;933.325088
335.000000;0.002410;0.001874;0.000536;-5.403790;-4.248622;-1.155168;5554.235981;4579.788454;974.447527
336.000000;0.002225;0.001729;0.000496;-5.209599;-4.088963;-1.120636;5630.744874;4616.362122;1014.382752
337.000000;0.002048;0.001590;0.000458;-5.012797;-3.928058;-1.084739;5704.611710;4651.529601;1053.082108
338.000000;0.001877;0.001456;0.000421;-4.813476;-3.765956;-1.047520;5775.778626;4685.280180;1090.498446
339.000000;0.001714;0.001328;0.000385;-4.611733;-3.602708;-1.009025;5844.189757;4717.603577;1126.586180
340.000000;0.001557;0.001206;0.000351;-4.407662;-3.438362;-0.969301;5909.791287;4748.489946;1161.301341
341.000000;0.001408;0.001090;0.000318;-4.201364;-3.272968;-0.928396;5972.531515;4777.929879;1194.601636
342.000000;0.001265;0.000979;0.000286;-3.992937;-3.106578;-0.886359;6032.360901;4805.914408;1226.446493
343.000000;0.001130;0.000874;0.000256;-3.782484;-2.939241;-0.843243;6089.232123;4832.435010;1256.797114
344.000000;0.001003;0.000775;0.000228;-3.570108;-2.771009;-0.799099;6143.100125;4857.483604;1285.616521
345.000000;0.000882;0.000681;0.000201;-3.355915;-2.601933;-0.753982;6193.922164;4881.052563;1312.869602
346.000000;0.000770;0.000594;0.000176;-3.140011;-2.432064;-0.707946;6241.657859;4903.134705;1338.523154
347.000000;0.000664;0.000513;0.000152;-2.922503;-2.261455;-0.661048;6286.269226;4923.723305;1362.545921
348.000000;0.000567;0.000437;0.000130;-2.703501;-2.090156;-0.613344;6327.720728;4942.812091;1384.908637
349.000000;0.000477;0.000367;0.000109;-2.483115;-1.918221;-0.564893;6365.979303;4960.395249;1405.584054
350.000000;0.000394;0.000304;0.000090;-2.261456;-1.745702;-0.515754;6401.014406;4976.467422;1424.546984
351.000000;0.000320;0.000246;0.000073;-2.038637;-1.572651;-0.465987;6432.798037;4991.023715;1441.774323
352.000000;0.000253;0.000195;0.000058;-1.814772;-1.399121;-0.415651;6461.304775;5004.059694;1457.245081
353.000000;0.000194;0.000149;0.000045;-1.589974;-1.225164;-0.364810;6486.511799;5015.571388;1470.940411
354.000000;0.000142;0.000110;0.000033;-1.364358;-1.050835;-0.313523;6508.398917;5025.555290;1482.843627
355.000000;0.000099;0.000076;0.000023;-1.138040;-0.876185;-0.261855;6526.948586;5034.008359;1492.940227
356.000000;0.000063;0.000049;0.000015;-0.911137;-0.701269;-0.209868;6542.145929;5040.928021;1501.217908
357.000000;0.000036;0.000027;0.000008;-0.683764;-0.526138;-0.157625;6553.978754;5046.312167;1507.666587
358.000000;0.000016;0.000012;0.000004;-0.456038;-0.350848;-0.105190;6562.437564;5050.159158;1512.278406
359.000000;0.000004;0.000003;0.000001;-0.228078;-0.175451;-0.052627;6567.515568;5052.467821;1515.047747
360.000000;0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;6569.208689;5053.237453;1515.971236
