# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:43 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|   38.0000 |       0.0054 |     0.0042 |     0.0011 |        7.6525 |      6.1893 |      1.4632 |     4348.7521 |   3982.0055 |    366.7466 |
|   39.0000 |       0.0056 |     0.0045 |     0.0012 |        7.8016 |      6.3266 |      1.4750 |     4242.2912 |   3927.1031 |    315.1881 |
|   40.0000 |       0.0059 |     0.0047 |     0.0012 |        7.9471 |      6.4620 |      1.4851 |     4134.2501 |   3871.0045 |    263.2456 |
|   41.0000 |       0.0062 |     0.0049 |     0.0013 |        8.0887 |      6.5954 |      1.4933 |     4024.7091 |   3813.7267 |    210.9824 |
|   42.0000 |       0.0065 |     0.0051 |     0.0013 |        8.2265 |      6.7268 |      1.4997 |     3913.7494 |   3755.2873 |    158.4621 |
|   43.0000 |       0.0068 |     0.0054 |     0.0014 |        8.3605 |      6.8562 |      1.5043 |     3801.4527 |   3695.7039 |    105.7488 |
|   44.0000 |       0.0071 |     0.0056 |     0.0014 |        8.4905 |      6.9835 |      1.5070 |     3687.9015 |   3634.9948 |     52.9066 |
|   45.0000 |       0.0074 |     0.0059 |     0.0015 |        8.6166 |      7.1086 |      1.5080 |     3573.1785 |   3573.1785 |      0.0000 |
|   46.0000 |       0.0077 |     0.0061 |     0.0016 |        8.7386 |      7.2316 |      1.5070 |     3457.3671 |   3510.2737 |    -52.9066 |
|   47.0000 |       0.0080 |     0.0064 |     0.0016 |        8.8567 |      7.3524 |      1.5043 |     3340.5508 |   3446.2997 |   -105.7488 |
|   48.0000 |       0.0083 |     0.0066 |     0.0017 |        8.9706 |      7.4709 |      1.4997 |     3222.8137 |   3381.2758 |   -158.4621 |
|   49.0000 |       0.0086 |     0.0069 |     0.0017 |        9.0805 |      7.5872 |      1.4933 |     3104.2396 |   3315.2221 |   -210.9824 |
|   50.0000 |       0.0089 |     0.0071 |     0.0018 |        9.1862 |      7.7011 |      1.4851 |     2984.9128 |   3248.1584 |   -263.2456 |
|   51.0000 |       0.0092 |     0.0074 |     0.0018 |        9.2877 |      7.8127 |      1.4750 |     2864.9172 |   3180.1054 |   -315.1881 |
|   52.0000 |       0.0095 |     0.0077 |     0.0019 |        9.3851 |      7.9219 |      1.4632 |     2744.3370 |   3111.0836 |   -366.7466 |
|   53.0000 |       0.0099 |     0.0080 |     0.0019 |        9.4783 |      8.0288 |      1.4495 |     2623.2559 |   3041.1142 |   -417.8583 |
|   54.0000 |       0.0102 |     0.0082 |     0.0020 |        9.5673 |      8.1331 |      1.4342 |     2501.7576 |   2970.2185 |   -468.4609 |
|   55.0000 |       0.0105 |     0.0085 |     0.0020 |        9.6520 |      8.2350 |      1.4170 |     2379.9252 |   2898.4179 |   -518.4927 |
|   56.0000 |       0.0109 |     0.0088 |     0.0021 |        9.7326 |      8.3344 |      1.3982 |     2257.8417 |   2825.7345 |   -567.8928 |
|   57.0000 |       0.0112 |     0.0091 |     0.0021 |        9.8088 |      8.4312 |      1.3776 |     2135.5893 |   2752.1904 |   -616.6011 |
|   58.0000 |       0.0116 |     0.0094 |     0.0022 |        9.8809 |      8.5255 |      1.3553 |     2013.2498 |   2677.8079 |   -664.5580 |
|   59.0000 |       0.0119 |     0.0097 |     0.0022 |        9.9486 |      8.6172 |      1.3315 |     1890.9043 |   2602.6097 |   -711.7054 |
|   60.0000 |       0.0122 |     0.0100 |     0.0022 |       10.0122 |      8.7062 |      1.3059 |     1768.6331 |   2526.6187 |   -757.9856 |
|   61.0000 |       0.0126 |     0.0103 |     0.0023 |       10.0715 |      8.7926 |      1.2788 |     1646.5158 |   2449.8581 |   -803.3424 |
|   62.0000 |       0.0129 |     0.0106 |     0.0023 |       10.1265 |      8.8764 |      1.2502 |     1524.6309 |   2372.3513 |   -847.7204 |
|   63.0000 |       0.0133 |     0.0109 |     0.0024 |       10.1773 |      8.9574 |      1.2200 |     1403.0563 |   2294.1218 |   -891.0655 |
|   64.0000 |       0.0137 |     0.0112 |     0.0024 |       10.2240 |      9.0357 |      1.1883 |     1281.8684 |   2215.1935 |   -933.3251 |
|   65.0000 |       0.0140 |     0.0115 |     0.0025 |       10.2664 |      9.1112 |      1.1552 |     1161.1429 |   2135.5904 |   -974.4475 |
|   66.0000 |       0.0144 |     0.0119 |     0.0025 |       10.3046 |      9.1840 |      1.1206 |     1040.9541 |   2055.3368 |  -1014.3828 |
|   67.0000 |       0.0147 |     0.0122 |     0.0025 |       10.3387 |      9.2539 |      1.0847 |      921.3751 |   1974.4572 |  -1053.0821 |
|   68.0000 |       0.0151 |     0.0125 |     0.0026 |       10.3686 |      9.3211 |      1.0475 |      802.4776 |   1892.9761 |  -1090.4984 |
|   69.0000 |       0.0154 |     0.0128 |     0.0026 |       10.3944 |      9.3854 |      1.0090 |      684.3322 |   1810.9183 |  -1126.5862 |
|   70.0000 |       0.0158 |     0.0132 |     0.0026 |       10.4161 |      9.4468 |      0.9693 |      567.0077 |   1728.3090 |  -1161.3013 |
|   71.0000 |       0.0162 |     0.0135 |     0.0027 |       10.4338 |      9.5054 |      0.9284 |      450.5716 |   1645.1732 |  -1194.6016 |
|   72.0000 |       0.0165 |     0.0138 |     0.0027 |       10.4474 |      9.5611 |      0.8864 |      335.0898 |   1561.5362 |  -1226.4465 |
|   73.0000 |       0.0169 |     0.0142 |     0.0027 |       10.4571 |      9.6138 |      0.8432 |      220.6265 |   1477.4236 |  -1256.7971 |
|   74.0000 |       0.0173 |     0.0145 |     0.0028 |       10.4628 |      9.6637 |      0.7991 |      107.2445 |   1392.8610 |  -1285.6165 |
|   75.0000 |       0.0176 |     0.0148 |     0.0028 |       10.4645 |      9.7105 |      0.7540 |       -4.9955 |   1307.8741 |  -1312.8696 |
|   76.0000 |       0.0180 |     0.0152 |     0.0028 |       10.4624 |      9.7545 |      0.7079 |     -116.0344 |   1222.4888 |  -1338.5232 |
|   77.0000 |       0.0183 |     0.0155 |     0.0028 |       10.4565 |      9.7954 |      0.6610 |     -225.8148 |   1136.7311 |  -1362.5459 |
|   78.0000 |       0.0187 |     0.0158 |     0.0029 |       10.4468 |      9.8334 |      0.6133 |     -334.2815 |   1050.6271 |  -1384.9086 |
|   79.0000 |       0.0191 |     0.0162 |     0.0029 |       10.4333 |      9.8684 |      0.5649 |     -441.3809 |    964.2032 |  -1405.5841 |
|   80.0000 |       0.0194 |     0.0165 |     0.0029 |       10.4161 |      9.9004 |      0.5158 |     -547.0615 |    877.4855 |  -1424.5470 |
|   81.0000 |       0.0198 |     0.0169 |     0.0029 |       10.3953 |      9.9293 |      0.4660 |     -651.2738 |    790.5005 |  -1441.7743 |
|   82.0000 |       0.0202 |     0.0172 |     0.0029 |       10.3709 |      9.9553 |      0.4157 |     -753.9704 |    703.2747 |  -1457.2451 |
|   83.0000 |       0.0205 |     0.0176 |     0.0030 |       10.3430 |      9.9782 |      0.3648 |     -855.1057 |    615.8347 |  -1470.9404 |
