# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:43 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|  146.0000 |       0.0375 |     0.0366 |     0.0009 |        4.2235 |      5.6216 |     -1.3982 |    -3621.4309 |  -4189.3237 |    567.8928 |
|  147.0000 |       0.0377 |     0.0368 |     0.0009 |        4.0977 |      5.4753 |     -1.3776 |    -3621.4005 |  -4238.0015 |    616.6011 |
|  148.0000 |       0.0378 |     0.0370 |     0.0008 |        3.9720 |      5.3273 |     -1.3553 |    -3620.8304 |  -4285.3884 |    664.5580 |
|  149.0000 |       0.0379 |     0.0371 |     0.0008 |        3.8463 |      5.1777 |     -1.3315 |    -3619.7645 |  -4331.4699 |    711.7054 |
|  150.0000 |       0.0381 |     0.0373 |     0.0007 |        3.7206 |      5.0265 |     -1.3059 |    -3618.2464 |  -4376.2320 |    757.9856 |
|  151.0000 |       0.0382 |     0.0375 |     0.0007 |        3.5950 |      4.8738 |     -1.2788 |    -3616.3187 |  -4419.6611 |    803.3424 |
|  152.0000 |       0.0383 |     0.0377 |     0.0007 |        3.4695 |      4.7196 |     -1.2502 |    -3614.0235 |  -4461.7438 |    847.7204 |
|  153.0000 |       0.0384 |     0.0378 |     0.0006 |        3.3440 |      4.5640 |     -1.2200 |    -3611.4020 |  -4502.4675 |    891.0655 |
|  154.0000 |       0.0386 |     0.0380 |     0.0006 |        3.2187 |      4.4070 |     -1.1883 |    -3608.4946 |  -4541.8197 |    933.3251 |
|  155.0000 |       0.0387 |     0.0381 |     0.0005 |        3.0935 |      4.2486 |     -1.1552 |    -3605.3409 |  -4579.7885 |    974.4475 |
|  156.0000 |       0.0388 |     0.0383 |     0.0005 |        2.9683 |      4.0890 |     -1.1206 |    -3601.9794 |  -4616.3621 |   1014.3828 |
|  157.0000 |       0.0389 |     0.0384 |     0.0005 |        2.8433 |      3.9281 |     -1.0847 |    -3598.4475 |  -4651.5296 |   1053.0821 |
|  158.0000 |       0.0390 |     0.0385 |     0.0004 |        2.7184 |      3.7660 |     -1.0475 |    -3594.7817 |  -4685.2802 |   1090.4984 |
|  159.0000 |       0.0391 |     0.0387 |     0.0004 |        2.5937 |      3.6027 |     -1.0090 |    -3591.0174 |  -4717.6036 |   1126.5862 |
|  160.0000 |       0.0391 |     0.0388 |     0.0004 |        2.4691 |      3.4384 |     -0.9693 |    -3587.1886 |  -4748.4899 |   1161.3013 |
|  161.0000 |       0.0392 |     0.0389 |     0.0003 |        2.3446 |      3.2730 |     -0.9284 |    -3583.3282 |  -4777.9299 |   1194.6016 |
|  162.0000 |       0.0393 |     0.0390 |     0.0003 |        2.2202 |      3.1066 |     -0.8864 |    -3579.4679 |  -4805.9144 |   1226.4465 |
|  163.0000 |       0.0394 |     0.0391 |     0.0003 |        2.0960 |      2.9392 |     -0.8432 |    -3575.6379 |  -4832.4350 |   1256.7971 |
|  164.0000 |       0.0395 |     0.0392 |     0.0002 |        1.9719 |      2.7710 |     -0.7991 |    -3571.8671 |  -4857.4836 |   1285.6165 |
|  165.0000 |       0.0395 |     0.0393 |     0.0002 |        1.8480 |      2.6019 |     -0.7540 |    -3568.1830 |  -4881.0526 |   1312.8696 |
|  166.0000 |       0.0396 |     0.0394 |     0.0002 |        1.7241 |      2.4321 |     -0.7079 |    -3564.6116 |  -4903.1347 |   1338.5232 |
|  167.0000 |       0.0396 |     0.0395 |     0.0002 |        1.6004 |      2.2615 |     -0.6610 |    -3561.1774 |  -4923.7233 |   1362.5459 |
|  168.0000 |       0.0397 |     0.0396 |     0.0001 |        1.4768 |      2.0902 |     -0.6133 |    -3557.9035 |  -4942.8121 |   1384.9086 |
|  169.0000 |       0.0397 |     0.0396 |     0.0001 |        1.3533 |      1.9182 |     -0.5649 |    -3554.8112 |  -4960.3952 |   1405.5841 |
|  170.0000 |       0.0398 |     0.0397 |     0.0001 |        1.2299 |      1.7457 |     -0.5158 |    -3551.9204 |  -4976.4674 |   1424.5470 |
|  171.0000 |       0.0398 |     0.0398 |     0.0001 |        1.1067 |      1.5727 |     -0.4660 |    -3549.2494 |  -4991.0237 |   1441.7743 |
|  172.0000 |       0.0399 |     0.0398 |     0.0001 |        0.9835 |      1.3991 |     -0.4157 |    -3546.8146 |  -5004.0597 |   1457.2451 |
|  173.0000 |       0.0399 |     0.0399 |     0.0000 |        0.8604 |      1.2252 |     -0.3648 |    -3544.6310 |  -5015.5714 |   1470.9404 |
|  174.0000 |       0.0399 |     0.0399 |     0.0000 |        0.7373 |      1.0508 |     -0.3135 |    -3542.7117 |  -5025.5553 |   1482.8436 |
|  175.0000 |       0.0399 |     0.0399 |     0.0000 |        0.6143 |      0.8762 |     -0.2619 |    -3541.0681 |  -5034.0084 |   1492.9402 |
|  176.0000 |       0.0400 |     0.0400 |     0.0000 |        0.4914 |      0.7013 |     -0.2099 |    -3539.7101 |  -5040.9280 |   1501.2179 |
|  177.0000 |       0.0400 |     0.0400 |     0.0000 |        0.3685 |      0.5261 |     -0.1576 |    -3538.6456 |  -5046.3122 |   1507.6666 |
|  178.0000 |       0.0400 |     0.0400 |     0.0000 |        0.2457 |      0.3508 |     -0.1052 |    -3537.8808 |  -5050.1592 |   1512.2784 |
|  179.0000 |       0.0400 |     0.0400 |     0.0000 |        0.1228 |      0.1755 |     -0.0526 |    -3537.4201 |  -5052.4678 |   1515.0477 |
|  180.0000 |       0.0400 |     0.0400 |     0.0000 |        0.0000 |      0.0000 |     -0.0000 |    -3537.2662 |  -5053.2375 |   1515.9712 |
|  181.0000 |       0.0400 |     0.0400 |     0.0000 |       -0.1228 |     -0.1755 |      0.0526 |    -3537.4201 |  -5052.4678 |   1515.0477 |
|  182.0000 |       0.0400 |     0.0400 |     0.0000 |       -0.2457 |     -0.3508 |      0.1052 |    -3537.8808 |  -5050.1592 |   1512.2784 |
|  183.0000 |       0.0400 |     0.0400 |     0.0000 |       -0.3685 |     -0.5261 |      0.1576 |    -3538.6456 |  -5046.3122 |   1507.6666 |
|  184.0000 |       0.0400 |     0.0400 |     0.0000 |       -0.4914 |     -0.7013 |      0.2099 |    -3539.7101 |  -5040.9280 |   1501.2179 |
|  185.0000 |       0.0399 |     0.0399 |     0.0000 |       -0.6143 |     -0.8762 |      0.2619 |    -3541.0681 |  -5034.0084 |   1492.9402 |
|  186.0000 |       0.0399 |     0.0399 |     0.0000 |       -0.7373 |     -1.0508 |      0.3135 |    -3542.7117 |  -5025.5553 |   1482.8436 |
|  187.0000 |       0.0399 |     0.0399 |     0.0000 |       -0.8604 |     -1.2252 |      0.3648 |    -3544.6310 |  -5015.5714 |   1470.9404 |
|  188.0000 |       0.0399 |     0.0398 |     0.0001 |       -0.9835 |     -1.3991 |      0.4157 |    -3546.8146 |  -5004.0597 |   1457.2451 |
|  189.0000 |       0.0398 |     0.0398 |     0.0001 |       -1.1067 |     -1.5727 |      0.4660 |    -3549.2494 |  -4991.0237 |   1441.7743 |
|  190.0000 |       0.0398 |     0.0397 |     0.0001 |       -1.2299 |     -1.7457 |      0.5158 |    -3551.9204 |  -4976.4674 |   1424.5470 |
|  191.0000 |       0.0397 |     0.0396 |     0.0001 |       -1.3533 |     -1.9182 |      0.5649 |    -3554.8112 |  -4960.3952 |   1405.5841 |
|  192.0000 |       0.0397 |     0.0396 |     0.0001 |       -1.4768 |     -2.0902 |      0.6133 |    -3557.9035 |  -4942.8121 |   1384.9086 |
|  193.0000 |       0.0396 |     0.0395 |     0.0002 |       -1.6004 |     -2.2615 |      0.6610 |    -3561.1774 |  -4923.7233 |   1362.5459 |
|  194.0000 |       0.0396 |     0.0394 |     0.0002 |       -1.7241 |     -2.4321 |      0.7079 |    -3564.6116 |  -4903.1347 |   1338.5232 |
|  195.0000 |       0.0395 |     0.0393 |     0.0002 |       -1.8480 |     -2.6019 |      0.7540 |    -3568.1830 |  -4881.0526 |   1312.8696 |
|  196.0000 |       0.0395 |     0.0392 |     0.0002 |       -1.9719 |     -2.7710 |      0.7991 |    -3571.8671 |  -4857.4836 |   1285.6165 |
|  197.0000 |       0.0394 |     0.0391 |     0.0003 |       -2.0960 |     -2.9392 |      0.8432 |    -3575.6379 |  -4832.4350 |   1256.7971 |
|  198.0000 |       0.0393 |     0.0390 |     0.0003 |       -2.2202 |     -3.1066 |      0.8864 |    -3579.4679 |  -4805.9144 |   1226.4465 |
|  199.0000 |       0.0392 |     0.0389 |     0.0003 |       -2.3446 |     -3.2730 |      0.9284 |    -3583.3282 |  -4777.9299 |   1194.6016 |
|  200.0000 |       0.0391 |     0.0388 |     0.0004 |       -2.4691 |     -3.4384 |      0.9693 |    -3587.1886 |  -4748.4899 |   1161.3013 |
|  201.0000 |       0.0391 |     0.0387 |     0.0004 |       -2.5937 |     -3.6027 |      1.0090 |    -3591.0174 |  -4717.6036 |   1126.5862 |
|  202.0000 |       0.0390 |     0.0385 |     0.0004 |       -2.7184 |     -3.7660 |      1.0475 |    -3594.7817 |  -4685.2802 |   1090.4984 |
|  203.0000 |       0.0389 |     0.0384 |     0.0005 |       -2.8433 |     -3.9281 |      1.0847 |    -3598.4475 |  -4651.5296 |   1053.0821 |
|  204.0000 |       0.0388 |     0.0383 |     0.0005 |       -2.9683 |     -4.0890 |      1.1206 |    -3601.9794 |  -4616.3621 |   1014.3828 |
|  205.0000 |       0.0387 |     0.0381 |     0.0005 |       -3.0935 |     -4.2486 |      1.1552 |    -3605.3409 |  -4579.7885 |    974.4475 |
|  206.0000 |       0.0386 |     0.0380 |     0.0006 |       -3.2187 |     -4.4070 |      1.1883 |    -3608.4946 |  -4541.8197 |    933.3251 |
|  207.0000 |       0.0384 |     0.0378 |     0.0006 |       -3.3440 |     -4.5640 |      1.2200 |    -3611.4020 |  -4502.4675 |    891.0655 |
|  208.0000 |       0.0383 |     0.0377 |     0.0007 |       -3.4695 |     -4.7196 |      1.2502 |    -3614.0235 |  -4461.7438 |    847.7204 |
|  209.0000 |       0.0382 |     0.0375 |     0.0007 |       -3.5950 |     -4.8738 |      1.2788 |    -3616.3187 |  -4419.6611 |    803.3424 |
|  210.0000 |       0.0381 |     0.0373 |     0.0008 |       -3.7206 |     -5.0265 |      1.3059 |    -3618.2464 |  -4376.2320 |    757.9856 |
|  211.0000 |       0.0379 |     0.0371 |     0.0008 |       -3.8463 |     -5.1777 |      1.3315 |    -3619.7645 |  -4331.4699 |    711.7054 |
|  212.0000 |       0.0378 |     0.0370 |     0.0008 |       -3.9720 |     -5.3273 |      1.3553 |    -3620.8304 |  -4285.3884 |    664.5580 |
|  213.0000 |       0.0377 |     0.0368 |     0.0009 |       -4.0977 |     -5.4753 |      1.3776 |    -3621.4005 |  -4238.0015 |    616.6011 |
|  214.0000 |       0.0375 |     0.0366 |     0.0009 |       -4.2235 |     -5.6216 |      1.3982 |    -3621.4309 |  -4189.3237 |    567.8928 |
|  215.0000 |       0.0374 |     0.0364 |     0.0010 |       -4.3492 |     -5.7662 |      1.4170 |    -3620.8771 |  -4139.3698 |    518.4927 |
|  216.0000 |       0.0372 |     0.0362 |     0.0010 |       -4.4749 |     -5.9091 |      1.4342 |    -3619.6941 |  -4088.1550 |    468.4609 |
|  217.0000 |       0.0371 |     0.0360 |     0.0011 |       -4.6006 |     -6.0501 |      1.4495 |    -3617.8366 |  -4035.6949 |    417.8583 |
|  218.0000 |       0.0369 |     0.0358 |     0.0011 |       -4.7261 |     -6.1893 |      1.4632 |    -3615.2588 |  -3982.0055 |    366.7466 |
|  219.0000 |       0.0367 |     0.0355 |     0.0012 |       -4.8516 |     -6.3266 |      1.4750 |    -3611.9149 |  -3927.1031 |    315.1881 |
|  220.0000 |       0.0366 |     0.0353 |     0.0012 |       -4.9770 |     -6.4620 |      1.4851 |    -3607.7588 |  -3871.0045 |    263.2456 |
|  221.0000 |       0.0364 |     0.0351 |     0.0013 |       -5.1021 |     -6.5954 |      1.4933 |    -3602.7443 |  -3813.7267 |    210.9824 |
|  222.0000 |       0.0362 |     0.0349 |     0.0013 |       -5.2271 |     -6.7268 |      1.4997 |    -3596.8251 |  -3755.2873 |    158.4621 |
|  223.0000 |       0.0360 |     0.0346 |     0.0014 |       -5.3519 |     -6.8562 |      1.5043 |    -3589.9551 |  -3695.7039 |    105.7488 |
|  224.0000 |       0.0358 |     0.0344 |     0.0014 |       -5.4764 |     -6.9835 |      1.5070 |    -3582.0882 |  -3634.9948 |     52.9066 |
|  225.0000 |       0.0356 |     0.0341 |     0.0015 |       -5.6006 |     -7.1086 |      1.5080 |    -3573.1785 |  -3573.1785 |      0.0000 |
|  226.0000 |       0.0354 |     0.0339 |     0.0016 |       -5.7245 |     -7.2316 |      1.5070 |    -3563.1803 |  -3510.2737 |    -52.9066 |
|  227.0000 |       0.0352 |     0.0336 |     0.0016 |       -5.8481 |     -7.3524 |      1.5043 |    -3552.0485 |  -3446.2997 |   -105.7488 |
|  228.0000 |       0.0350 |     0.0334 |     0.0017 |       -5.9712 |     -7.4709 |      1.4997 |    -3539.7380 |  -3381.2758 |   -158.4621 |
|  229.0000 |       0.0348 |     0.0331 |     0.0017 |       -6.0939 |     -7.5872 |      1.4933 |    -3526.2045 |  -3315.2221 |   -210.9824 |
|  230.0000 |       0.0346 |     0.0329 |     0.0018 |       -6.2161 |     -7.7011 |      1.4851 |    -3511.4041 |  -3248.1584 |   -263.2456 |
|  231.0000 |       0.0344 |     0.0326 |     0.0018 |       -6.3377 |     -7.8127 |      1.4750 |    -3495.2935 |  -3180.1054 |   -315.1881 |
|  232.0000 |       0.0342 |     0.0323 |     0.0019 |       -6.4588 |     -7.9219 |      1.4632 |    -3477.8303 |  -3111.0836 |   -366.7466 |
|  233.0000 |       0.0339 |     0.0320 |     0.0019 |       -6.5792 |     -8.0288 |      1.4495 |    -3458.9725 |  -3041.1142 |   -417.8583 |
|  234.0000 |       0.0337 |     0.0318 |     0.0020 |       -6.6990 |     -8.1331 |      1.4342 |    -3438.6793 |  -2970.2185 |   -468.4609 |
|  235.0000 |       0.0335 |     0.0315 |     0.0020 |       -6.8180 |     -8.2350 |      1.4170 |    -3416.9106 |  -2898.4179 |   -518.4927 |
|  236.0000 |       0.0332 |     0.0312 |     0.0021 |       -6.9362 |     -8.3344 |      1.3982 |    -3393.6273 |  -2825.7345 |   -567.8928 |
|  237.0000 |       0.0330 |     0.0309 |     0.0021 |       -7.0536 |     -8.4312 |      1.3776 |    -3368.7914 |  -2752.1904 |   -616.6011 |
|  238.0000 |       0.0328 |     0.0306 |     0.0022 |       -7.1702 |     -8.5255 |      1.3553 |    -3342.3659 |  -2677.8079 |   -664.5580 |
|  239.0000 |       0.0325 |     0.0303 |     0.0022 |       -7.2857 |     -8.6172 |      1.3315 |    -3314.3151 |  -2602.6097 |   -711.7054 |
|  240.0000 |       0.0323 |     0.0300 |     0.0022 |       -7.4003 |     -8.7062 |      1.3059 |    -3284.6043 |  -2526.6187 |   -757.9856 |
|  241.0000 |       0.0320 |     0.0297 |     0.0023 |       -7.5138 |     -8.7926 |      1.2788 |    -3253.2005 |  -2449.8581 |   -803.3424 |
|  242.0000 |       0.0317 |     0.0294 |     0.0023 |       -7.6262 |     -8.8764 |      1.2502 |    -3220.0716 |  -2372.3513 |   -847.7204 |
|  243.0000 |       0.0315 |     0.0291 |     0.0024 |       -7.7374 |     -8.9574 |      1.2200 |    -3185.1873 |  -2294.1218 |   -891.0655 |
|  244.0000 |       0.0312 |     0.0288 |     0.0024 |       -7.8474 |     -9.0357 |      1.1883 |    -3148.5186 |  -2215.1935 |   -933.3251 |
|  245.0000 |       0.0309 |     0.0285 |     0.0025 |       -7.9560 |     -9.1112 |      1.1552 |    -3110.0380 |  -2135.5904 |   -974.4475 |
|  246.0000 |       0.0306 |     0.0281 |     0.0025 |       -8.0633 |     -9.1840 |      1.1206 |    -3069.7196 |  -2055.3368 |  -1014.3828 |
|  247.0000 |       0.0304 |     0.0278 |     0.0025 |       -8.1692 |     -9.2539 |      1.0847 |    -3027.5393 |  -1974.4572 |  -1053.0821 |
|  248.0000 |       0.0301 |     0.0275 |     0.0026 |       -8.2735 |     -9.3211 |      1.0475 |    -2983.4745 |  -1892.9761 |  -1090.4984 |
|  249.0000 |       0.0298 |     0.0272 |     0.0026 |       -8.3763 |     -9.3854 |      1.0090 |    -2937.5045 |  -1810.9183 |  -1126.5862 |
|  250.0000 |       0.0295 |     0.0268 |     0.0026 |       -8.4775 |     -9.4468 |      0.9693 |    -2889.6103 |  -1728.3090 |  -1161.3013 |
|  251.0000 |       0.0292 |     0.0265 |     0.0027 |       -8.5770 |     -9.5054 |      0.9284 |    -2839.7748 |  -1645.1732 |  -1194.6016 |
|  252.0000 |       0.0289 |     0.0262 |     0.0027 |       -8.6747 |     -9.5611 |      0.8864 |    -2787.9827 |  -1561.5362 |  -1226.4465 |
|  253.0000 |       0.0286 |     0.0258 |     0.0027 |       -8.7706 |     -9.6138 |      0.8432 |    -2734.2208 |  -1477.4236 |  -1256.7971 |
|  254.0000 |       0.0283 |     0.0255 |     0.0028 |       -8.8646 |     -9.6637 |      0.7991 |    -2678.4775 |  -1392.8610 |  -1285.6165 |
|  255.0000 |       0.0280 |     0.0252 |     0.0028 |       -8.9566 |     -9.7105 |      0.7540 |    -2620.7437 |  -1307.8741 |  -1312.8696 |
|  256.0000 |       0.0277 |     0.0248 |     0.0028 |       -9.0465 |     -9.7545 |      0.7079 |    -2561.0119 |  -1222.4888 |  -1338.5232 |
|  257.0000 |       0.0273 |     0.0245 |     0.0028 |       -9.1344 |     -9.7954 |      0.6610 |    -2499.2770 |  -1136.7311 |  -1362.5459 |
|  258.0000 |       0.0270 |     0.0242 |     0.0029 |       -9.2201 |     -9.8334 |      0.6133 |    -2435.5358 |  -1050.6271 |  -1384.9086 |
|  259.0000 |       0.0267 |     0.0238 |     0.0029 |       -9.3035 |     -9.8684 |      0.5649 |    -2369.7872 |   -964.2032 |  -1405.5841 |
|  260.0000 |       0.0264 |     0.0235 |     0.0029 |       -9.3846 |     -9.9004 |      0.5158 |    -2302.0325 |   -877.4855 |  -1424.5470 |
|  261.0000 |       0.0261 |     0.0231 |     0.0029 |       -9.4633 |     -9.9293 |      0.4660 |    -2232.2748 |   -790.5005 |  -1441.7743 |
|  262.0000 |       0.0257 |     0.0228 |     0.0029 |       -9.5396 |     -9.9553 |      0.4157 |    -2160.5198 |   -703.2747 |  -1457.2451 |
|  263.0000 |       0.0254 |     0.0224 |     0.0030 |       -9.6134 |     -9.9782 |      0.3648 |    -2086.7751 |   -615.8347 |  -1470.9404 |
|  264.0000 |       0.0251 |     0.0221 |     0.0030 |       -9.6845 |     -9.9980 |      0.3135 |    -2011.0508 |   -528.2071 |  -1482.8436 |
|  265.0000 |       0.0247 |     0.0217 |     0.0030 |       -9.7530 |    -10.0148 |      0.2619 |    -1933.3589 |   -440.4187 |  -1492.9402 |
|  266.0000 |       0.0244 |     0.0214 |     0.0030 |       -9.8187 |    -10.0286 |      0.2099 |    -1853.7139 |   -352.4960 |  -1501.2179 |
|  267.0000 |       0.0240 |     0.0210 |     0.0030 |       -9.8817 |    -10.0393 |      0.1576 |    -1772.1326 |   -264.4660 |  -1507.6666 |
|  268.0000 |       0.0237 |     0.0207 |     0.0030 |       -9.9418 |    -10.0470 |      0.1052 |    -1688.6339 |   -176.3554 |  -1512.2784 |
|  269.0000 |       0.0233 |     0.0203 |     0.0030 |       -9.9989 |    -10.0516 |      0.0526 |    -1603.2389 |    -88.1912 |  -1515.0477 |
|  270.0000 |       0.0230 |     0.0200 |     0.0030 |      -10.0531 |    -10.0531 |      0.0000 |    -1515.9712 |     -0.0000 |  -1515.9712 |
|  271.0000 |       0.0227 |     0.0197 |     0.0030 |      -10.1042 |    -10.0516 |     -0.0526 |    -1426.8566 |     88.1912 |  -1515.0477 |
|  272.0000 |       0.0223 |     0.0193 |     0.0030 |      -10.1522 |    -10.0470 |     -0.1052 |    -1335.9230 |    176.3554 |  -1512.2784 |
|  273.0000 |       0.0219 |     0.0190 |     0.0030 |      -10.1969 |    -10.0393 |     -0.1576 |    -1243.2006 |    264.4660 |  -1507.6666 |
|  274.0000 |       0.0216 |     0.0186 |     0.0030 |      -10.2385 |    -10.0286 |     -0.2099 |    -1148.7219 |    352.4960 |  -1501.2179 |
|  275.0000 |       0.0212 |     0.0183 |     0.0030 |      -10.2767 |    -10.0148 |     -0.2619 |    -1052.5216 |    440.4187 |  -1492.9402 |
|  276.0000 |       0.0209 |     0.0179 |     0.0030 |      -10.3115 |     -9.9980 |     -0.3135 |     -954.6365 |    528.2071 |  -1482.8436 |
|  277.0000 |       0.0205 |     0.0176 |     0.0030 |      -10.3430 |     -9.9782 |     -0.3648 |     -855.1057 |    615.8347 |  -1470.9404 |
|  278.0000 |       0.0202 |     0.0172 |     0.0029 |      -10.3709 |     -9.9553 |     -0.4157 |     -753.9704 |    703.2747 |  -1457.2451 |
|  279.0000 |       0.0198 |     0.0169 |     0.0029 |      -10.3953 |     -9.9293 |     -0.4660 |     -651.2738 |    790.5005 |  -1441.7743 |
|  280.0000 |       0.0194 |     0.0165 |     0.0029 |      -10.4161 |     -9.9004 |     -0.5158 |     -547.0615 |    877.4855 |  -1424.5470 |
|  281.0000 |       0.0191 |     0.0162 |     0.0029 |      -10.4333 |     -9.8684 |     -0.5649 |     -441.3809 |    964.2032 |  -1405.5841 |
|  282.0000 |       0.0187 |     0.0158 |     0.0029 |      -10.4468 |     -9.8334 |     -0.6133 |     -334.2815 |   1050.6271 |  -1384.9086 |
|  283.0000 |       0.0183 |     0.0155 |     0.0028 |      -10.4565 |     -9.7954 |     -0.6610 |     -225.8148 |   1136.7311 |  -1362.5459 |
|  284.0000 |       0.0180 |     0.0152 |     0.0028 |      -10.4624 |     -9.7545 |     -0.7079 |     -116.0344 |   1222.4888 |  -1338.5232 |
|  285.0000 |       0.0176 |     0.0148 |     0.0028 |      -10.4645 |     -9.7105 |     -0.7540 |       -4.9955 |   1307.8741 |  -1312.8696 |
|  286.0000 |       0.0173 |     0.0145 |     0.0028 |      -10.4628 |     -9.6637 |     -0.7991 |      107.2445 |   1392.8610 |  -1285.6165 |
|  287.0000 |       0.0169 |     0.0142 |     0.0027 |      -10.4571 |     -9.6138 |     -0.8432 |      220.6265 |   1477.4236 |  -1256.7971 |
|  288.0000 |       0.0165 |     0.0138 |     0.0027 |      -10.4474 |     -9.5611 |     -0.8864 |      335.0898 |   1561.5362 |  -1226.4465 |
|  289.0000 |       0.0162 |     0.0135 |     0.0027 |      -10.4338 |     -9.5054 |     -0.9284 |      450.5716 |   1645.1732 |  -1194.6016 |
|  290.0000 |       0.0158 |     0.0132 |     0.0026 |      -10.4161 |     -9.4468 |     -0.9693 |      567.0077 |   1728.3090 |  -1161.3013 |
|  291.0000 |       0.0154 |     0.0128 |     0.0026 |      -10.3944 |     -9.3854 |     -1.0090 |      684.3322 |   1810.9183 |  -1126.5862 |
|  292.0000 |       0.0151 |     0.0125 |     0.0026 |      -10.3686 |     -9.3211 |     -1.0475 |      802.4776 |   1892.9761 |  -1090.4984 |
|  293.0000 |       0.0147 |     0.0122 |     0.0025 |      -10.3387 |     -9.2539 |     -1.0847 |      921.3751 |   1974.4572 |  -1053.0821 |
|  294.0000 |       0.0144 |     0.0119 |     0.0025 |      -10.3046 |     -9.1840 |     -1.1206 |     1040.9541 |   2055.3368 |  -1014.3828 |
|  295.0000 |       0.0140 |     0.0115 |     0.0025 |      -10.2664 |     -9.1112 |     -1.1552 |     1161.1429 |   2135.5904 |   -974.4475 |
|  296.0000 |       0.0137 |     0.0112 |     0.0024 |      -10.2240 |     -9.0357 |     -1.1883 |     1281.8684 |   2215.1935 |   -933.3251 |
|  297.0000 |       0.0133 |     0.0109 |     0.0024 |      -10.1773 |     -8.9574 |     -1.2200 |     1403.0563 |   2294.1218 |   -891.0655 |
|  298.0000 |       0.0129 |     0.0106 |     0.0023 |      -10.1265 |     -8.8764 |     -1.2502 |     1524.6309 |   2372.3513 |   -847.7204 |
|  299.0000 |       0.0126 |     0.0103 |     0.0023 |      -10.0715 |     -8.7926 |     -1.2788 |     1646.5158 |   2449.8581 |   -803.3424 |
|  300.0000 |       0.0122 |     0.0100 |     0.0022 |      -10.0122 |     -8.7062 |     -1.3059 |     1768.6331 |   2526.6187 |   -757.9856 |
|  301.0000 |       0.0119 |     0.0097 |     0.0022 |       -9.9486 |     -8.6172 |     -1.3315 |     1890.9043 |   2602.6097 |   -711.7054 |
|  302.0000 |       0.0116 |     0.0094 |     0.0022 |       -9.8809 |     -8.5255 |     -1.3553 |     2013.2498 |   2677.8079 |   -664.5580 |
|  303.0000 |       0.0112 |     0.0091 |     0.0021 |       -9.8088 |     -8.4312 |     -1.3776 |     2135.5893 |   2752.1904 |   -616.6011 |
|  304.0000 |       0.0109 |     0.0088 |     0.0021 |       -9.7326 |     -8.3344 |     -1.3982 |     2257.8417 |   2825.7345 |   -567.8928 |
|  305.0000 |       0.0105 |     0.0085 |     0.0020 |       -9.6520 |     -8.2350 |     -1.4170 |     2379.9252 |   2898.4179 |   -518.4927 |
|  306.0000 |       0.0102 |     0.0082 |     0.0020 |       -9.5673 |     -8.1331 |     -1.4342 |     2501.7576 |   2970.2185 |   -468.4609 |
|  307.0000 |       0.0099 |     0.0080 |     0.0019 |       -9.4783 |     -8.0288 |     -1.4495 |     2623.2559 |   3041.1142 |   -417.8583 |
|  308.0000 |       0.0095 |     0.0077 |     0.0019 |       -9.3851 |     -7.9219 |     -1.4632 |     2744.3370 |   3111.0836 |   -366.7466 |
|  309.0000 |       0.0092 |     0.0074 |     0.0018 |       -9.2877 |     -7.8127 |     -1.4750 |     2864.9172 |   3180.1054 |   -315.1881 |
|  310.0000 |       0.0089 |     0.0071 |     0.0018 |       -9.1862 |     -7.7011 |     -1.4851 |     2984.9128 |   3248.1584 |   -263.2456 |
|  311.0000 |       0.0086 |     0.0069 |     0.0017 |       -9.0805 |     -7.5872 |     -1.4933 |     3104.2396 |   3315.2221 |   -210.9824 |
|  312.0000 |       0.0083 |     0.0066 |     0.0017 |       -8.9706 |     -7.4709 |     -1.4997 |     3222.8137 |   3381.2758 |   -158.4621 |
|  313.0000 |       0.0080 |     0.0064 |     0.0016 |       -8.8567 |     -7.3524 |     -1.5043 |     3340.5508 |   3446.2997 |   -105.7488 |
|  314.0000 |       0.0077 |     0.0061 |     0.0016 |       -8.7386 |     -7.2316 |     -1.5070 |     3457.3671 |   3510.2737 |    -52.9066 |
|  315.0000 |       0.0074 |     0.0059 |     0.0015 |       -8.6166 |     -7.1086 |     -1.5080 |     3573.1785 |   3573.1785 |     -0.0000 |
|  316.0000 |       0.0071 |     0.0056 |     0.0014 |       -8.4905 |     -6.9835 |     -1.5070 |     3687.9015 |   3634.9948 |     52.9066 |
|  317.0000 |       0.0068 |     0.0054 |     0.0014 |       -8.3605 |     -6.8562 |     -1.5043 |     3801.4527 |   3695.7039 |    105.7488 |
|  318.0000 |       0.0065 |     0.0051 |     0.0013 |       -8.2265 |     -6.7268 |     -1.4997 |     3913.7494 |   3755.2873 |    158.4621 |
|  319.0000 |       0.0062 |     0.0049 |     0.0013 |       -8.0887 |     -6.5954 |     -1.4933 |     4024.7091 |   3813.7267 |    210.9824 |
