параметр;значение;единица измерения;описание
step_alpha;1.0;град.;Шаг угла поворота кривошипа
end_alpha;360.0;град.;Предельный угол поворота кривошипа
radcrank;0.020;м;Радиус кривошипа
lyambda;0.3;-;Геометрическая характеристика КШМ (λ)
n;4800.0;об/мин;Частота вращения коленвала
gamma;0.0;град.;Угол развала цилиндров
gammaPric;0.0;град.;Угол прицепного шатуна
dezaxial;0.0;м;Дезаксиал
radcrank1;0.0;м;Радиус кривошипа прицепного шатуна
lengthRod1;0.0;м;Длина прицепного шатуна
