# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:08 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];stroke1[м];stroke2[м];velocity_full[м/с];velocity1[м/с];velocity2[м/с];acceleration_full[м/с²];acceleration1[м/с²];acceleration2[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
41.000000;0.006210;0.004906;0.001291;8.118505;6.595425;1.493289;4064.409064;3813.726717;210.982418;11.350929;116.077998;-47076.389068
42.000000;0.006494;0.005137;0.001343;8.257699;6.726835;1.499704;3952.925601;3755.287265;158.462144;11.580188;114.392082;-48092.355323
43.000000;0.006783;0.005373;0.001395;8.392996;6.856195;1.504291;3839.930077;3695.703917;105.748808;11.806056;112.668965;-49097.248185
44.000000;0.007077;0.005613;0.001448;8.524345;6.983468;1.507046;3725.503167;3634.994821;52.906633;12.028459;110.908981;-50090.648906
45.000000;0.007375;0.005858;0.001500;8.651696;7.108613;1.507964;3609.726875;3573.178470;0.000000;12.247324;109.112480;-51072.132061
46.000000;0.007678;0.006107;0.001552;8.775005;7.231592;1.507046;3492.684468;3510.273695;-52.906633;12.462580;107.279832;-52041.265898
47.000000;0.007984;0.006360;0.001605;8.894230;7.352369;1.504291;3374.460403;3446.299656;-105.748808;12.674153;105.411425;-52997.612732
48.000000;0.008295;0.006617;0.001657;9.009330;7.470907;1.499704;3255.140250;3381.275841;-158.462144;12.881975;103.507663;-53940.729363
49.000000;0.008610;0.006879;0.001709;9.120270;7.587168;1.493289;3134.810615;3315.222057;-210.982418;13.085974;101.568973;-54870.167540
50.000000;0.008929;0.007144;0.001760;9.227015;7.701119;1.485055;3013.559050;3248.158424;-263.245643;13.286082;99.595797;-55785.474447
51.000000;0.009251;0.007414;0.001812;9.329535;7.812723;1.475012;2891.473969;3180.105370;-315.188143;13.482231;97.588599;-56686.193228
52.000000;0.009576;0.007687;0.001863;9.427803;7.921948;1.463171;2768.644552;3111.083626;-366.746635;13.674353;95.547864;-57571.863550
53.000000;0.009905;0.007964;0.001913;9.521794;8.028760;1.449548;2645.160653;3041.114215;-417.858303;13.862382;93.474094;-58442.022188
54.000000;0.010238;0.008244;0.001964;9.611488;8.133126;1.434159;2521.112693;2970.218451;-468.460875;14.046253;91.367815;-59296.203650
55.000000;0.010573;0.008528;0.002013;9.696866;8.235015;1.417023;2396.591559;2898.417931;-518.492699;14.225901;89.229571;-60133.940831
56.000000;0.010911;0.008816;0.002062;9.777914;8.334395;1.398160;2271.688494;2825.734523;-567.892820;14.401265;87.059929;-60954.765694
57.000000;0.011252;0.009107;0.002110;9.854619;8.431236;1.377594;2146.494989;2752.190370;-616.601052;14.572281;84.859476;-61758.209980
58.000000;0.011595;0.009402;0.002158;9.926974;8.525509;1.355349;2021.102660;2677.807873;-664.558049;14.738890;82.628820;-62543.805949
59.000000;0.011941;0.009699;0.002204;9.994972;8.617186;1.331454;1895.603137;2602.609690;-711.705385;14.901031;80.368591;-63311.087137
60.000000;0.012289;0.010000;0.002250;10.058613;8.706237;1.305936;1770.087937;2526.618727;-757.985618;15.058647;78.079441;-64059.589149
61.000000;0.012640;0.010304;0.002295;10.117896;8.792636;1.278826;1644.648342;2449.858131;-803.342362;15.211681;75.762041;-64788.850459
62.000000;0.012992;0.010611;0.002339;10.172826;8.876357;1.250159;1519.375272;2372.351284;-847.720357;15.360077;73.417087;-65498.413242
63.000000;0.013346;0.010920;0.002382;10.223411;8.957375;1.219969;1394.359156;2294.121797;-891.065535;15.503780;71.045292;-66187.824213
64.000000;0.013702;0.011233;0.002423;10.269661;9.035663;1.188292;1269.689803;2215.193497;-933.325088;15.642740;68.647394;-66856.635483
