# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:08 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];stroke1[м];stroke2[м];velocity_full[м/с];velocity1[м/с];velocity2[м/с];acceleration_full[м/с²];acceleration1[м/с²];acceleration2[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
166.000000;0.039582;0.039406;0.000176;1.722246;2.432064;-0.707946;-3553.494708;-4903.134705;1338.523154;4.161990;-146.704030;-16775.333590
167.000000;0.039639;0.039487;0.000152;1.598896;2.261455;-0.661048;-3551.464242;-4923.723305;1362.545921;3.869565;-147.267274;-15587.368471
168.000000;0.039693;0.039563;0.000130;1.475615;2.090156;-0.613344;-3549.525645;-4942.812091;1384.908637;3.576060;-147.788946;-14397.071653
169.000000;0.039742;0.039633;0.000109;1.352400;1.918221;-0.564893;-3547.692470;-4960.395249;1405.584054;3.281559;-148.269010;-13204.641158
170.000000;0.039787;0.039696;0.000090;1.229246;1.745702;-0.515754;-3545.977170;-4976.467422;1424.546984;2.986144;-148.707431;-12010.270592
171.000000;0.039827;0.039754;0.000073;1.106150;1.572651;-0.465987;-3544.391098;-4991.023715;1441.774323;2.689898;-149.104181;-10814.149491
172.000000;0.039863;0.039805;0.000058;0.983107;1.399121;-0.415651;-3542.944516;-5004.059694;1457.245081;2.392905;-149.459234;-9616.463661
173.000000;0.039895;0.039851;0.000045;0.860111;1.225164;-0.364810;-3541.646592;-5015.571388;1470.940411;2.095247;-149.772567;-8417.395539
174.000000;0.039923;0.039890;0.000033;0.737157;1.050835;-0.313523;-3540.505410;-5025.555290;1482.843627;1.797007;-150.044160;-7217.124553
175.000000;0.039947;0.039924;0.000023;0.614240;0.876185;-0.261855;-3539.527967;-5034.008359;1492.940227;1.498268;-150.273998;-6015.827484
176.000000;0.039966;0.039951;0.000015;0.491354;0.701269;-0.209868;-3538.720182;-5040.928021;1501.217908;1.199113;-150.462065;-4813.678839
177.000000;0.039981;0.039973;0.000008;0.368494;0.526138;-0.157625;-3538.086891;-5046.312167;1507.666587;0.899626;-150.608351;-3610.851222
178.000000;0.039991;0.039988;0.000004;0.245652;0.350848;-0.105190;-3537.631856;-5050.159158;1512.278406;0.599889;-150.712847;-2407.515715
179.000000;0.039998;0.039997;0.000001;0.122823;0.175451;-0.052627;-3537.357761;-5052.467821;1515.047747;0.299986;-150.775547;-1203.842251
180.000000;0.040000;0.040000;0.000000;0.000000;0.000000;-0.000000;-3537.266217;-5053.237453;1515.971236;0.000000;-150.796447;-0.000000
181.000000;0.039998;0.039997;0.000001;-0.122823;-0.175451;0.052627;-3537.357761;-5052.467821;1515.047747;-0.299986;-150.775547;1203.842251
182.000000;0.039991;0.039988;0.000004;-0.245652;-0.350848;0.105190;-3537.631856;-5050.159158;1512.278406;-0.599889;-150.712847;2407.515715
183.000000;0.039981;0.039973;0.000008;-0.368494;-0.526138;0.157625;-3538.086891;-5046.312167;1507.666587;-0.899626;-150.608351;3610.851222
184.000000;0.039966;0.039951;0.000015;-0.491354;-0.701269;0.209868;-3538.720182;-5040.928021;1501.217908;-1.199113;-150.462065;4813.678839
185.000000;0.039947;0.039924;0.000023;-0.614240;-0.876185;0.261855;-3539.527967;-5034.008359;1492.940227;-1.498268;-150.273998;6015.827484
186.000000;0.039923;0.039890;0.000033;-0.737157;-1.050835;0.313523;-3540.505410;-5025.555290;1482.843627;-1.797007;-150.044160;7217.124553
187.000000;0.039895;0.039851;0.000045;-0.860111;-1.225164;0.364810;-3541.646592;-5015.571388;1470.940411;-2.095247;-149.772567;8417.395539
188.000000;0.039863;0.039805;0.000058;-0.983107;-1.399121;0.415651;-3542.944516;-5004.059694;1457.245081;-2.392905;-149.459234;9616.463661
189.000000;0.039827;0.039754;0.000073;-1.106150;-1.572651;0.465987;-3544.391098;-4991.023715;1441.774323;-2.689898;-149.104181;10814.149491
190.000000;0.039787;0.039696;0.000090;-1.229246;-1.745702;0.515754;-3545.977170;-4976.467422;1424.546984;-2.986144;-148.707431;12010.270592
191.000000;0.039742;0.039633;0.000109;-1.352400;-1.918221;0.564893;-3547.692470;-4960.395249;1405.584054;-3.281559;-148.269010;13204.641158
192.000000;0.039693;0.039563;0.000130;-1.475615;-2.090156;0.613344;-3549.525645;-4942.812091;1384.908637;-3.576060;-147.788946;14397.071653
193.000000;0.039639;0.039487;0.000152;-1.598896;-2.261455;0.661048;-3551.464242;-4923.723305;1362.545921;-3.869565;-147.267274;15587.368471
194.000000;0.039582;0.039406;0.000176;-1.722246;-2.432064;0.707946;-3553.494708;-4903.134705;1338.523154;-4.161990;-146.704030;16775.333590
195.000000;0.039520;0.039319;0.000201;-1.845667;-2.601933;0.753982;-3555.602386;-4881.052563;1312.869602;-4.453254;-146.099255;17960.764237
196.000000;0.039454;0.039225;0.000228;-1.969163;-2.771009;0.799099;-3557.771508;-4857.483604;1285.616521;-4.743273;-145.452994;19143.452569
197.000000;0.039383;0.039126;0.000256;-2.092735;-2.939241;0.843243;-3559.985196;-4832.435010;1256.797114;-5.031966;-144.765297;20323.185353
198.000000;0.039308;0.039021;0.000286;-2.216385;-3.106578;0.886359;-3562.225457;-4805.914408;1226.446493;-5.319249;-144.036220;21499.743663
199.000000;0.039229;0.038910;0.000318;-2.340112;-3.272968;0.928396;-3564.473179;-4777.929879;1194.601636;-5.605040;-143.265823;22672.902586
200.000000;0.039146;0.038794;0.000351;-2.463918;-3.438362;0.969301;-3566.708131;-4748.489946;1161.301341;-5.889258;-142.454172;23842.430938
201.000000;0.039058;0.038672;0.000385;-2.587800;-3.602708;1.009025;-3568.908957;-4717.603577;1126.586180;-6.171820;-141.601338;25008.090996
202.000000;0.038966;0.038544;0.000421;-2.711758;-3.765956;1.047520;-3571.053181;-4685.280180;1090.498446;-6.452644;-140.707401;26169.638245
203.000000;0.038870;0.038410;0.000458;-2.835789;-3.928058;1.084739;-3573.117201;-4651.529601;1053.082108;-6.731650;-139.772446;27326.821131
204.000000;0.038769;0.038271;0.000496;-2.959890;-4.088963;1.120636;-3575.076295;-4616.362122;1014.382752;-7.008754;-138.796564;28479.380841
205.000000;0.038664;0.038126;0.000536;-3.084057;-4.248622;1.155168;-3576.904617;-4579.788454;974.447527;-7.283877;-137.779856;29627.051090
206.000000;0.038555;0.037976;0.000577;-3.208284;-4.406987;1.188292;-3578.575203;-4541.819738;933.325088;-7.556936;-136.722429;30769.557932
207.000000;0.038441;0.037820;0.000618;-3.332567;-4.564010;1.219969;-3580.059976;-4502.467539;891.065535;-7.827851;-135.624400;31906.619587
208.000000;0.038323;0.037659;0.000661;-3.456897;-4.719643;1.250159;-3581.329749;-4461.743846;847.720357;-8.096541;-134.485894;33037.946284
209.000000;0.038201;0.037492;0.000705;-3.581267;-4.873838;1.278826;-3582.354235;-4419.661062;803.342362;-8.362927;-133.307045;34163.240133
210.000000;0.038075;0.037321;0.000750;-3.705668;-5.026548;1.305936;-3583.102054;-4376.232006;757.985618;-8.626927;-132.087998;35282.195007
211.000000;0.037944;0.037143;0.000796;-3.830090;-5.177727;1.331454;-3583.540745;-4331.469908;711.705385;-8.888461;-130.828908;36394.496459
212.000000;0.037809;0.036961;0.000842;-3.954521;-5.327329;1.355349;-3583.636779;-4285.388402;664.558049;-9.147452;-129.529939;37499.821653
213.000000;0.037669;0.036773;0.000890;-4.078949;-5.475309;1.377594;-3583.355573;-4238.001525;616.601052;-9.403818;-128.191269;38597.839322
214.000000;0.037526;0.036581;0.000938;-4.203361;-5.621620;1.398160;-3582.661511;-4189.323712;567.892820;-9.657482;-126.813087;39688.209757
215.000000;0.037377;0.036383;0.000987;-4.327740;-5.766219;1.417023;-3581.517958;-4139.369790;518.492699;-9.908366;-125.395592;40770.584812
216.000000;0.037225;0.036180;0.001036;-4.452072;-5.909062;1.434159;-3579.887291;-4088.154976;468.460875;-10.156390;-123.938999;41844.607945
217.000000;0.037068;0.035973;0.001087;-4.576337;-6.050104;1.449548;-3577.730917;-4035.694871;417.858303;-10.401477;-122.443535;42909.914288
218.000000;0.036907;0.035760;0.001137;-4.700519;-6.189304;1.463171;-3575.009306;-3982.005454;366.746635;-10.643551;-120.909440;43966.130738
219.000000;0.036742;0.035543;0.001188;-4.824595;-6.326619;1.475012;-3571.682022;-3927.103079;315.188143;-10.882535;-119.336970;45012.876084
220.000000;0.036572;0.035321;0.001240;-4.948545;-6.462006;1.485055;-3567.707757;-3871.004471;263.245643;-11.118353;-117.726394;46049.761168
221.000000;0.036398;0.035094;0.001291;-5.072344;-6.595425;1.493289;-3563.044371;-3813.726717;210.982418;-11.350929;-116.077998;47076.389068
222.000000;0.036220;0.034863;0.001343;-5.195970;-6.726835;1.499704;-3557.648930;-3755.287265;158.462144;-11.580188;-114.392082;48092.355323
223.000000;0.036037;0.034627;0.001395;-5.319394;-6.856195;1.504291;-3551.477756;-3695.703917;105.748808;-11.806056;-112.668965;49097.248185
224.000000;0.035851;0.034387;0.001448;-5.442591;-6.983468;1.507046;-3544.486475;-3634.994821;52.906633;-12.028459;-110.908981;50090.648906
225.000000;0.035659;0.034142;0.001500;-5.565529;-7.108613;1.507964;-3536.630066;-3573.178470;0.000000;-12.247324;-109.112480;51072.132061
226.000000;0.035464;0.033893;0.001552;-5.688179;-7.231592;1.507046;-3527.862922;-3510.273695;-52.906633;-12.462580;-107.279832;52041.265898
227.000000;0.035264;0.033640;0.001605;-5.810509;-7.352369;1.504291;-3518.138910;-3446.299656;-105.748808;-12.674153;-105.411425;52997.612732
228.000000;0.035061;0.033383;0.001657;-5.932483;-7.470907;1.499704;-3507.411432;-3381.275841;-158.462144;-12.881975;-103.507663;53940.729363
229.000000;0.034852;0.033121;0.001709;-6.054067;-7.587168;1.493289;-3495.633499;-3315.222057;-210.982418;-13.085974;-101.568973;54870.167540
230.000000;0.034640;0.032856;0.001760;-6.175223;-7.701119;1.485055;-3482.757798;-3248.158424;-263.245643;-13.286082;-99.595797;55785.474447
231.000000;0.034424;0.032586;0.001812;-6.295912;-7.812723;1.475012;-3468.736772;-3180.105370;-315.188143;-13.482231;-97.588599;56686.193228
232.000000;0.034203;0.032313;0.001863;-6.416093;-7.921948;1.463171;-3453.522699;-3111.083626;-366.746635;-13.674353;-95.547864;57571.863550
233.000000;0.033978;0.032036;0.001913;-6.535725;-8.028760;1.449548;-3437.067777;-3041.114215;-417.858303;-13.862382;-93.474094;58442.022188
234.000000;0.033749;0.031756;0.001964;-6.654764;-8.133126;1.434159;-3419.324210;-2970.218451;-468.460875;-14.046253;-91.367815;59296.203650
235.000000;0.033516;0.031472;0.002013;-6.773163;-8.235015;1.417023;-3400.244302;-2898.417931;-518.492699;-14.225901;-89.229571;60133.940831
236.000000;0.033279;0.031184;0.002062;-6.890876;-8.334395;1.398160;-3379.780552;-2825.734523;-567.892820;-14.401265;-87.059929;60954.765694
237.000000;0.033037;0.030893;0.002110;-7.007853;-8.431236;1.377594;-3357.885752;-2752.190370;-616.601052;-14.572281;-84.859476;61758.209980
238.000000;0.032792;0.030598;0.002158;-7.124045;-8.525509;1.355349;-3334.513086;-2677.807873;-664.558049;-14.738890;-82.628820;62543.805949
239.000000;0.032543;0.030301;0.002204;-7.239399;-8.617186;1.331454;-3309.616243;-2602.609690;-711.705385;-14.901031;-80.368591;63311.087137
240.000000;0.032289;0.030000;0.002250;-7.353861;-8.706237;1.305936;-3283.149517;-2526.618727;-757.985618;-15.058647;-78.079441;64059.589149
241.000000;0.032032;0.029696;0.002295;-7.467377;-8.792636;1.278826;-3255.067920;-2449.858131;-803.342362;-15.211681;-75.762041;64788.850459
242.000000;0.031771;0.029389;0.002339;-7.579889;-8.876357;1.250159;-3225.327297;-2372.351284;-847.720357;-15.360077;-73.417087;65498.413242
243.000000;0.031506;0.029080;0.002382;-7.691338;-8.957375;1.219969;-3193.884437;-2294.121797;-891.065535;-15.503780;-71.045292;66187.824213
244.000000;0.031237;0.028767;0.002423;-7.801666;-9.035663;1.188292;-3160.697192;-2215.193497;-933.325088;-15.642740;-68.647394;66856.635483
245.000000;0.030964;0.028452;0.002464;-7.910810;-9.111200;1.155168;-3125.724595;-2135.590429;-974.447527;-15.776903;-66.224150;67504.405431
246.000000;0.030687;0.028135;0.002504;-8.018709;-9.183961;1.120636;-3088.926974;-2055.336838;-1014.382752;-15.906221;-63.776337;68130.699580
247.000000;0.030407;0.027815;0.002542;-8.125298;-9.253924;1.084739;-3050.266079;-1974.457173;-1053.082108;-16.030645;-61.304755;68735.091475
248.000000;0.030123;0.027492;0.002579;-8.230511;-9.321069;1.047520;-3009.705194;-1892.976068;-1090.498446;-16.150129;-58.810221;69317.163576
249.000000;0.029835;0.027167;0.002615;-8.334283;-9.385374;1.009025;-2967.209262;-1810.918345;-1126.586180;-16.264629;-56.293574;69876.508136
250.000000;0.029544;0.026840;0.002649;-8.436544;-9.446821;0.969301;-2922.744998;-1728.308998;-1161.301341;-16.374100;-53.755672;70412.728085
251.000000;0.029250;0.026511;0.002682;-8.537228;-9.505389;0.928396;-2876.281011;-1645.173192;-1194.601636;-16.478502;-51.197391;70925.437905
252.000000;0.028951;0.026180;0.002714;-8.636263;-9.561063;0.886359;-2827.787916;-1561.536250;-1226.446493;-16.577795;-48.619626;71414.264489
253.000000;0.028650;0.025847;0.002744;-8.733578;-9.613824;0.843243;-2777.238450;-1477.423649;-1256.797114;-16.671941;-46.023291;71878.847996
254.000000;0.028345;0.025513;0.002772;-8.829102;-9.663657;0.799099;-2724.607583;-1392.861010;-1285.616521;-16.760905;-43.409314;72318.842679
255.000000;0.028037;0.025176;0.002799;-8.922763;-9.710546;0.753982;-2669.872624;-1307.874092;-1312.869602;-16.844651;-40.778642;72733.917695
256.000000;0.027725;0.024838;0.002824;-9.014486;-9.754477;0.707946;-2613.013324;-1222.488784;-1338.523154;-16.923147;-38.132238;73123.757897
257.000000;0.027411;0.024499;0.002848;-9.104197;-9.795436;0.661048;-2554.011983;-1136.731093;-1362.545921;-16.996364;-35.471079;73488.064589
258.000000;0.027093;0.024158;0.002870;-9.191823;-9.833412;0.613344;-2492.853538;-1050.627143;-1384.908637;-17.064273;-32.796156;73826.556253
259.000000;0.026773;0.023816;0.002891;-9.277287;-9.868393;0.564893;-2429.525659;-964.203162;-1405.584054;-17.126847;-30.108475;74138.969248
260.000000;0.026449;0.023473;0.002910;-9.360514;-9.900367;0.515754;-2364.018832;-877.485475;-1424.546984;-17.184063;-27.409053;74425.058460
261.000000;0.026122;0.023129;0.002927;-9.441430;-9.929326;0.465987;-2296.326442;-790.500498;-1441.774323;-17.235898;-24.698918;74684.597924
262.000000;0.025793;0.022783;0.002942;-9.519956;-9.955260;0.415651;-2226.444842;-703.274726;-1457.245081;-17.282331;-21.979112;74917.381393
263.000000;0.025461;0.022437;0.002955;-9.596018;-9.978162;0.364810;-2154.373423;-615.834731;-1470.940411;-17.323344;-19.250683;75123.222864
264.000000;0.025127;0.022091;0.002967;-9.669540;-9.998025;0.313523;-2080.114675;-528.207146;-1482.843627;-17.358922;-16.514691;75301.957063
265.000000;0.024790;0.021743;0.002977;-9.740446;-10.014841;0.261855;-2003.674237;-440.418664;-1492.940227;-17.389049;-13.772201;75453.439863
266.000000;0.024451;0.021395;0.002985;-9.808659;-10.028608;0.209868;-1925.060944;-352.496026;-1501.217908;-17.413716;-11.024286;75577.548667
267.000000;0.024109;0.021047;0.002992;-9.874105;-10.039319;0.157625;-1844.286865;-264.466014;-1507.666587;-17.432911;-8.272024;75674.182727
268.000000;0.023765;0.020698;0.002996;-9.936710;-10.046972;0.105190;-1761.367331;-176.355444;-1512.278406;-17.446627;-5.516497;75743.263403
269.000000;0.023419;0.020349;0.002999;-9.996398;-10.051565;0.052627;-1676.320958;-88.191154;-1515.047747;-17.454859;-2.758793;75784.734378
270.000000;0.023071;0.020000;0.003000;-10.053096;-10.053096;0.000000;-1589.169660;-0.000000;-1515.971236;-17.457603;-0.000000;75798.561800
271.000000;0.022721;0.019651;0.002999;-10.106733;-10.051565;-0.052627;-1499.938650;88.191154;-1515.047747;-17.454859;2.758793;75784.734378
272.000000;0.022369;0.019302;0.002996;-10.157235;-10.046972;-0.105190;-1408.656443;176.355444;-1512.278406;-17.446627;5.516497;75743.263403
273.000000;0.022015;0.018953;0.002992;-10.204533;-10.039319;-0.157625;-1315.354836;264.466014;-1507.666587;-17.432911;8.272024;75674.182727
274.000000;0.021660;0.018605;0.002985;-10.248556;-10.028608;-0.209868;-1220.068892;352.496026;-1501.217908;-17.413716;11.024286;75577.548667
275.000000;0.021304;0.018257;0.002977;-10.289237;-10.014841;-0.261855;-1122.836910;440.418664;-1492.940227;-17.389049;13.772201;75453.439863
276.000000;0.020946;0.017909;0.002967;-10.326509;-9.998025;-0.313523;-1023.700384;528.207146;-1482.843627;-17.358922;16.514691;75301.957063
277.000000;0.020587;0.017563;0.002955;-10.360306;-9.978162;-0.364810;-922.703962;615.834731;-1470.940411;-17.323344;19.250683;75123.222864
278.000000;0.020226;0.017217;0.002942;-10.390565;-9.955260;-0.415651;-819.895389;703.274726;-1457.245081;-17.282331;21.979112;74917.381393
279.000000;0.019865;0.016871;0.002927;-10.417223;-9.929326;-0.465987;-715.325446;790.500498;-1441.774323;-17.235898;24.698918;74684.597924
280.000000;0.019503;0.016527;0.002910;-10.440220;-9.900367;-0.515754;-609.047882;877.485475;-1424.546984;-17.184063;27.409053;74425.058460
281.000000;0.019140;0.016184;0.002891;-10.459499;-9.868393;-0.564893;-501.119335;964.203162;-1405.584054;-17.126847;30.108475;74138.969248
282.000000;0.018777;0.015842;0.002870;-10.475002;-9.833412;-0.613344;-391.599252;1050.627143;-1384.908637;-17.064273;32.796156;73826.556253
283.000000;0.018413;0.015501;0.002848;-10.486675;-9.795436;-0.661048;-280.549797;1136.731093;-1362.545921;-16.996364;35.471079;73488.064589
284.000000;0.018048;0.015162;0.002824;-10.494468;-9.754477;-0.707946;-168.035757;1222.488784;-1338.523154;-16.923147;38.132238;73123.757897
285.000000;0.017684;0.014824;0.002799;-10.498328;-9.710546;-0.753982;-54.124439;1307.874092;-1312.869602;-16.844651;40.778642;72733.917695
286.000000;0.017319;0.014487;0.002772;-10.498211;-9.663657;-0.799099;61.114436;1392.861010;-1285.616521;-16.760905;43.409314;72318.842679
287.000000;0.016955;0.014153;0.002744;-10.494070;-9.613824;-0.843243;177.608847;1477.423649;-1256.797114;-16.671941;46.023291;71878.847996
288.000000;0.016591;0.013820;0.002714;-10.485863;-9.561063;-0.886359;295.284584;1561.536250;-1226.446493;-16.577795;48.619626;71414.264489
289.000000;0.016227;0.013489;0.002682;-10.473551;-9.505389;-0.928396;414.065373;1645.173192;-1194.601636;-16.478502;51.197391;70925.437905
290.000000;0.015863;0.013160;0.002649;-10.457097;-9.446821;-0.969301;533.872998;1728.308998;-1161.301341;-16.374100;53.755672;70412.728085
291.000000;0.015501;0.012833;0.002615;-10.436466;-9.385374;-1.009025;654.627428;1810.918345;-1126.586180;-16.264629;56.293574;69876.508136
292.000000;0.015139;0.012508;0.002579;-10.411626;-9.321069;-1.047520;776.246942;1892.976068;-1090.498446;-16.150129;58.810221;69317.163576
293.000000;0.014778;0.012185;0.002542;-10.382551;-9.253924;-1.084739;898.648266;1974.457173;-1053.082108;-16.030645;61.304755;68735.091475
294.000000;0.014418;0.011865;0.002504;-10.349212;-9.183961;-1.120636;1021.746703;2055.336838;-1014.382752;-15.906221;63.776337;68130.699580
295.000000;0.014059;0.011548;0.002464;-10.311589;-9.111200;-1.155168;1145.456263;2135.590429;-974.447527;-15.776903;66.224150;67504.405431
296.000000;0.013702;0.011233;0.002423;-10.269661;-9.035663;-1.188292;1269.689803;2215.193497;-933.325088;-15.642740;68.647394;66856.635483
297.000000;0.013346;0.010920;0.002382;-10.223411;-8.957375;-1.219969;1394.359156;2294.121797;-891.065535;-15.503780;71.045292;66187.824213
298.000000;0.012992;0.010611;0.002339;-10.172826;-8.876357;-1.250159;1519.375272;2372.351284;-847.720357;-15.360077;73.417087;65498.413242
299.000000;0.012640;0.010304;0.002295;-10.117896;-8.792636;-1.278826;1644.648342;2449.858131;-803.342362;-15.211681;75.762041;64788.850459
300.000000;0.012289;0.010000;0.002250;-10.058613;-8.706237;-1.305936;1770.087937;2526.618727;-757.985618;-15.058647;78.079441;64059.589149
301.000000;0.011941;0.009699;0.002204;-9.994972;-8.617186;-1.331454;1895.603137;2602.609690;-711.705385;-14.901031;80.368591;63311.087137
302.000000;0.011595;0.009402;0.002158;-9.926974;-8.525509;-1.355349;2021.102660;2677.807873;-664.558049;-14.738890;82.628820;62543.805949
303.000000;0.011252;0.009107;0.002110;-9.854619;-8.431236;-1.377594;2146.494989;2752.190370;-616.601052;-14.572281;84.859476;61758.209980
304.000000;0.010911;0.008816;0.002062;-9.777914;-8.334395;-1.398160;2271.688494;2825.734523;-567.892820;-14.401265;87.059929;60954.765694
305.000000;0.010573;0.008528;0.002013;-9.696866;-8.235015;-1.417023;2396.591559;2898.417931;-518.492699;-14.225901;89.229571;60133.940831
306.000000;0.010238;0.008244;0.001964;-9.611488;-8.133126;-1.434159;2521.112693;2970.218451;-468.460875;-14.046253;91.367815;59296.203650
307.000000;0.009905;0.007964;0.001913;-9.521794;-8.028760;-1.449548;2645.160653;3041.114215;-417.858303;-13.862382;93.474094;58442.022188
308.000000;0.009576;0.007687;0.001863;-9.427803;-7.921948;-1.463171;2768.644552;3111.083626;-366.746635;-13.674353;95.547864;57571.863550
309.000000;0.009251;0.007414;0.001812;-9.329535;-7.812723;-1.475012;2891.473969;3180.105370;-315.188143;-13.482231;97.588599;56686.193228
310.000000;0.008929;0.007144;0.001760;-9.227015;-7.701119;-1.485055;3013.559050;3248.158424;-263.245643;-13.286082;99.595797;55785.474447
311.000000;0.008610;0.006879;0.001709;-9.120270;-7.587168;-1.493289;3134.810615;3315.222057;-210.982418;-13.085974;101.568973;54870.167540
312.000000;0.008295;0.006617;0.001657;-9.009330;-7.470907;-1.499704;3255.140250;3381.275841;-158.462144;-12.881975;103.507663;53940.729363
313.000000;0.007984;0.006360;0.001605;-8.894230;-7.352369;-1.504291;3374.460403;3446.299656;-105.748808;-12.674153;105.411425;52997.612732
314.000000;0.007678;0.006107;0.001552;-8.775005;-7.231592;-1.507046;3492.684468;3510.273695;-52.906633;-12.462580;107.279832;52041.265898
315.000000;0.007375;0.005858;0.001500;-8.651696;-7.108613;-1.507964;3609.726875;3573.178470;-0.000000;-12.247324;109.112480;51072.132061
316.000000;0.007077;0.005613;0.001448;-8.524345;-6.983468;-1.507046;3725.503167;3634.994821;52.906633;-12.028459;110.908981;50090.648906
317.000000;0.006783;0.005373;0.001395;-8.392996;-6.856195;-1.504291;3839.930077;3695.703917;105.748808;-11.806056;112.668965;49097.248185
318.000000;0.006494;0.005137;0.001343;-8.257699;-6.726835;-1.499704;3952.925601;3755.287265;158.462144;-11.580188;114.392082;48092.355323
319.000000;0.006210;0.004906;0.001291;-8.118505;-6.595425;-1.493289;4064.409064;3813.726717;210.982418;-11.350929;116.077998;47076.389068
320.000000;0.005930;0.004679;0.001240;-7.975467;-6.462006;-1.485055;4174.301185;3871.004471;263.245643;-11.118353;117.726394;46049.761168
321.000000;0.005656;0.004457;0.001188;-7.828642;-6.326619;-1.475012;4282.524136;3927.103079;315.188143;-10.882535;119.336970;45012.876084
322.000000;0.005387;0.004240;0.001137;-7.678090;-6.189304;-1.463171;4389.001602;3982.005454;366.746635;-10.643551;120.909440;43966.130738
323.000000;0.005123;0.004027;0.001087;-7.523872;-6.050104;-1.449548;4493.658825;4035.694871;417.858303;-10.401477;122.443535;42909.914288
324.000000;0.004864;0.003820;0.001036;-7.366052;-5.909062;-1.434159;4596.422662;4088.154976;468.460875;-10.156390;123.938999;41844.607945
325.000000;0.004611;0.003617;0.000987;-7.204698;-5.766219;-1.417023;4697.221622;4139.369790;518.492699;-9.908366;125.395592;40770.584812
326.000000;0.004364;0.003419;0.000938;-7.039880;-5.621620;-1.398160;4795.985913;4189.323712;567.892820;-9.657482;126.813087;39688.209757
327.000000;0.004123;0.003227;0.000890;-6.871668;-5.475309;-1.377594;4892.647477;4238.001525;616.601052;-9.403818;128.191269;38597.839322
328.000000;0.003887;0.003039;0.000842;-6.700138;-5.327329;-1.355349;4987.140024;4285.388402;664.558049;-9.147452;129.529939;37499.821653
329.000000;0.003657;0.002857;0.000796;-6.525365;-5.177727;-1.331454;5079.399070;4331.469908;711.705385;-8.888461;130.828908;36394.496459
330.000000;0.003434;0.002679;0.000750;-6.347428;-5.026548;-1.305936;5169.361958;4376.232006;757.985618;-8.626927;132.087998;35282.195007
331.000000;0.003216;0.002508;0.000705;-6.166409;-4.873838;-1.278826;5256.967888;4419.661062;803.342362;-8.362927;133.307045;34163.240133
332.000000;0.003006;0.002341;0.000661;-5.982389;-4.719643;-1.250159;5342.157942;4461.743846;847.720357;-8.096541;134.485894;33037.946284
333.000000;0.002801;0.002180;0.000618;-5.795454;-4.564010;-1.219969;5424.875103;4502.467539;891.065535;-7.827851;135.624400;31906.619587
334.000000;0.002603;0.002024;0.000577;-5.605691;-4.406987;-1.188292;5505.064272;4541.819738;933.325088;-7.556936;136.722429;30769.557932
335.000000;0.002412;0.001874;0.000536;-5.413188;-4.248622;-1.155168;5582.672291;4579.788454;974.447527;-7.283877;137.779856;29627.051090
336.000000;0.002227;0.001729;0.000496;-5.218036;-4.088963;-1.120636;5657.647949;4616.362122;1014.382752;-7.008754;138.796564;28479.380841
337.000000;0.002049;0.001590;0.000458;-5.020327;-3.928058;-1.084739;5729.942002;4651.529601;1053.082108;-6.731650;139.772446;27326.821131
338.000000;0.001879;0.001456;0.000421;-4.820155;-3.765956;-1.047520;5799.507179;4685.280180;1090.498446;-6.452644;140.707401;26169.638245
339.000000;0.001715;0.001328;0.000385;-4.617615;-3.602708;-1.009025;5866.298197;4717.603577;1126.586180;-6.171820;141.601338;25008.090996
340.000000;0.001558;0.001206;0.000351;-4.412805;-3.438362;-0.969301;5930.271761;4748.489946;1161.301341;-5.889258;142.454172;23842.430938
341.000000;0.001408;0.001090;0.000318;-4.205824;-3.272968;-0.928396;5991.386579;4777.929879;1194.601636;-5.605040;143.265823;22672.902586
342.000000;0.001266;0.000979;0.000286;-3.996770;-3.106578;-0.886359;6049.603359;4805.914408;1226.446493;-5.319249;144.036220;21499.743663
343.000000;0.001131;0.000874;0.000256;-3.785746;-2.939241;-0.843243;6104.884823;4832.435010;1256.797114;-5.031966;144.765297;20323.185353
344.000000;0.001003;0.000775;0.000228;-3.572855;-2.771009;-0.799099;6157.195701;4857.483604;1285.616521;-4.743273;145.452994;19143.452569
345.000000;0.000883;0.000681;0.000201;-3.358198;-2.601933;-0.753982;6206.502739;4881.052563;1312.869602;-4.453254;146.099255;17960.764237
346.000000;0.000770;0.000594;0.000176;-3.141882;-2.432064;-0.707946;6252.774701;4903.134705;1338.523154;-4.161990;146.704030;16775.333590
347.000000;0.000665;0.000513;0.000152;-2.924013;-2.261455;-0.661048;6295.982368;4923.723305;1362.545921;-3.869565;147.267274;15587.368471
348.000000;0.000567;0.000437;0.000130;-2.704697;-2.090156;-0.613344;6336.098537;4942.812091;1384.908637;-3.576060;147.788946;14397.071653
349.000000;0.000477;0.000367;0.000109;-2.484042;-1.918221;-0.564893;6373.098027;4960.395249;1405.584054;-3.281559;148.269010;13204.641158
350.000000;0.000394;0.000304;0.000090;-2.262157;-1.745702;-0.515754;6406.957674;4976.467422;1424.546984;-2.986144;148.707431;12010.270592
