# Результаты расчета кинематики КШМ
# Дата создания: Sat Oct 25 23:52:18 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.0756 м
# λ: 0.27
# Частота вращения: 5600 об/мин
# Угол развала: 90 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361
# Расчет выполнен для главного и бокового цилиндров
# Боковой цилиндр имеет угол развала: 90 град.

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|   37.0000 |       0.0189 |     0.0152 |     0.0037 |       32.5117 |     26.6810 |      5.7533 |    22847.6591 |  20763.6501 |   1934.8929 |
|   38.0000 |       0.0199 |     0.0160 |     0.0039 |       33.1841 |     27.2948 |      5.8073 |    22335.2157 |  20487.4181 |   1698.2203 |
|   39.0000 |       0.0209 |     0.0168 |     0.0040 |       33.8411 |     27.9004 |      5.8543 |    21813.8631 |  20204.9453 |   1459.4787 |
|   40.0000 |       0.0219 |     0.0177 |     0.0042 |       34.4825 |     28.4974 |      5.8942 |    21283.9612 |  19916.3180 |   1218.9589 |
|   41.0000 |       0.0230 |     0.0185 |     0.0044 |       35.1079 |     29.0858 |      5.9269 |    20745.8766 |  19621.6240 |    976.9541 |
|   42.0000 |       0.0240 |     0.0194 |     0.0046 |       35.7173 |     29.6653 |      5.9523 |    20199.9825 |  19320.9530 |    733.7590 |
|   43.0000 |       0.0251 |     0.0203 |     0.0047 |       36.3102 |     30.2358 |      5.9705 |    19646.6580 |  19014.3967 |    489.6699 |
|   44.0000 |       0.0262 |     0.0212 |     0.0049 |       36.8866 |     30.7971 |      5.9815 |    19086.2886 |  18702.0484 |    244.9842 |
|   45.0000 |       0.0273 |     0.0221 |     0.0051 |       37.4462 |     31.3490 |      5.9851 |    18519.2650 |  18384.0032 |      0.0000 |
|   46.0000 |       0.0284 |     0.0231 |     0.0053 |       37.9889 |     31.8913 |      5.9815 |    17945.9833 |  18060.3582 |   -244.9842 |
