# Результаты расчета кинематики КШМ
# Дата создания: Sun Oct 26 22:47:46 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];velocity_full[м/с];acceleration_full[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
77.000000;0.018413;10.486675;-280.549797;16.996364;35.471079;-73488.064589
78.000000;0.018777;10.475002;-391.599252;17.064273;32.796156;-73826.556253
79.000000;0.019140;10.459499;-501.119335;17.126847;30.108475;-74138.969248
80.000000;0.019503;10.440220;-609.047882;17.184063;27.409053;-74425.058460
81.000000;0.019865;10.417223;-715.325446;17.235898;24.698918;-74684.597924
82.000000;0.020226;10.390565;-819.895389;17.282331;21.979112;-74917.381393
83.000000;0.020587;10.360306;-922.703962;17.323344;19.250683;-75123.222864
84.000000;0.020946;10.326509;-1023.700384;17.358922;16.514691;-75301.957063
85.000000;0.021304;10.289237;-1122.836910;17.389049;13.772201;-75453.439863
86.000000;0.021660;10.248556;-1220.068892;17.413716;11.024286;-75577.548667
87.000000;0.022015;10.204533;-1315.354836;17.432911;8.272024;-75674.182727
88.000000;0.022369;10.157235;-1408.656443;17.446627;5.516497;-75743.263403
89.000000;0.022721;10.106733;-1499.938650;17.454859;2.758793;-75784.734378
90.000000;0.023071;10.053096;-1589.169660;17.457603;0.000000;-75798.561800
91.000000;0.023419;9.996398;-1676.320958;17.454859;-2.758793;-75784.734378
92.000000;0.023765;9.936710;-1761.367331;17.446627;-5.516497;-75743.263403
93.000000;0.024109;9.874105;-1844.286865;17.432911;-8.272024;-75674.182727
94.000000;0.024451;9.808659;-1925.060944;17.413716;-11.024286;-75577.548667
95.000000;0.024790;9.740446;-2003.674237;17.389049;-13.772201;-75453.439863
96.000000;0.025127;9.669540;-2080.114675;17.358922;-16.514691;-75301.957063
97.000000;0.025461;9.596018;-2154.373423;17.323344;-19.250683;-75123.222864
98.000000;0.025793;9.519956;-2226.444842;17.282331;-21.979112;-74917.381393
99.000000;0.026122;9.441430;-2296.326442;17.235898;-24.698918;-74684.597924
100.000000;0.026449;9.360514;-2364.018832;17.184063;-27.409053;-74425.058460
101.000000;0.026773;9.277287;-2429.525659;17.126847;-30.108475;-74138.969248
102.000000;0.027093;9.191823;-2492.853538;17.064273;-32.796156;-73826.556253
