# Результаты расчета кинематики КШМ
# Дата создания: Sun Oct 26 22:47:46 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];velocity_full[м/с];acceleration_full[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
315.000000;0.007375;-8.651696;3609.726875;-12.247324;109.112480;51072.132061
316.000000;0.007077;-8.524345;3725.503167;-12.028459;110.908981;50090.648906
317.000000;0.006783;-8.392996;3839.930077;-11.806056;112.668965;49097.248185
318.000000;0.006494;-8.257699;3952.925601;-11.580188;114.392082;48092.355323
319.000000;0.006210;-8.118505;4064.409064;-11.350929;116.077998;47076.389068
320.000000;0.005930;-7.975467;4174.301185;-11.118353;117.726394;46049.761168
321.000000;0.005656;-7.828642;4282.524136;-10.882535;119.336970;45012.876084
322.000000;0.005387;-7.678090;4389.001602;-10.643551;120.909440;43966.130738
323.000000;0.005123;-7.523872;4493.658825;-10.401477;122.443535;42909.914288
324.000000;0.004864;-7.366052;4596.422662;-10.156390;123.938999;41844.607945
325.000000;0.004611;-7.204698;4697.221622;-9.908366;125.395592;40770.584812
326.000000;0.004364;-7.039880;4795.985913;-9.657482;126.813087;39688.209757
327.000000;0.004123;-6.871668;4892.647477;-9.403818;128.191269;38597.839322
328.000000;0.003887;-6.700138;4987.140024;-9.147452;129.529939;37499.821653
329.000000;0.003657;-6.525365;5079.399070;-8.888461;130.828908;36394.496459
330.000000;0.003434;-6.347428;5169.361958;-8.626927;132.087998;35282.195007
331.000000;0.003216;-6.166409;5256.967888;-8.362927;133.307045;34163.240133
332.000000;0.003006;-5.982389;5342.157942;-8.096541;134.485894;33037.946284
333.000000;0.002801;-5.795454;5424.875103;-7.827851;135.624400;31906.619587
334.000000;0.002603;-5.605691;5505.064272;-7.556936;136.722429;30769.557932
335.000000;0.002412;-5.413188;5582.672291;-7.283877;137.779856;29627.051090
336.000000;0.002227;-5.218036;5657.647949;-7.008754;138.796564;28479.380841
337.000000;0.002049;-5.020327;5729.942002;-6.731650;139.772446;27326.821131
338.000000;0.001879;-4.820155;5799.507179;-6.452644;140.707401;26169.638245
339.000000;0.001715;-4.617615;5866.298197;-6.171820;141.601338;25008.090996
340.000000;0.001558;-4.412805;5930.271761;-5.889258;142.454172;23842.430938
341.000000;0.001408;-4.205824;5991.386579;-5.605040;143.265823;22672.902586
342.000000;0.001266;-3.996770;6049.603359;-5.319249;144.036220;21499.743663
343.000000;0.001131;-3.785746;6104.884823;-5.031966;144.765297;20323.185353
344.000000;0.001003;-3.572855;6157.195701;-4.743273;145.452994;19143.452569
345.000000;0.000883;-3.358198;6206.502739;-4.453254;146.099255;17960.764237
346.000000;0.000770;-3.141882;6252.774701;-4.161990;146.704030;16775.333590
347.000000;0.000665;-2.924013;6295.982368;-3.869565;147.267274;15587.368471
348.000000;0.000567;-2.704697;6336.098537;-3.576060;147.788946;14397.071653
349.000000;0.000477;-2.484042;6373.098027;-3.281559;148.269010;13204.641158
350.000000;0.000394;-2.262157;6406.957674;-2.986144;148.707431;12010.270592
351.000000;0.000320;-2.039151;6437.656331;-2.689898;149.104181;10814.149491
352.000000;0.000253;-1.815135;6465.174872;-2.392905;149.459234;9616.463661
353.000000;0.000194;-1.590218;6489.496183;-2.095247;149.772567;8417.395539
354.000000;0.000142;-1.364512;6510.605170;-1.797007;150.044160;7217.124553
355.000000;0.000099;-1.138130;6528.488751;-1.498268;150.273998;6015.827484
356.000000;0.000063;-0.911183;6543.135860;-1.199113;150.462065;4813.678839
357.000000;0.000036;-0.683783;6554.537443;-0.899626;150.608351;3610.851222
358.000000;0.000016;-0.456044;6562.686459;-0.599889;150.712847;2407.515715
359.000000;0.000004;-0.228079;6567.577880;-0.299986;150.775547;1203.842251
360.000000;0.000000;-0.000000;6569.208689;-0.000000;150.796447;0.000000
