# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:09 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|   38.0000 |       0.0054 |     0.0042 |     0.0011 |        7.6781 |      6.1893 |      1.4632 |     4389.0016 |   3982.0055 |    366.7466 |
|   39.0000 |       0.0057 |     0.0045 |     0.0012 |        7.8286 |      6.3266 |      1.4750 |     4282.5241 |   3927.1031 |    315.1881 |
|   40.0000 |       0.0059 |     0.0047 |     0.0012 |        7.9755 |      6.4620 |      1.4851 |     4174.3012 |   3871.0045 |    263.2456 |
|   41.0000 |       0.0062 |     0.0049 |     0.0013 |        8.1185 |      6.5954 |      1.4933 |     4064.4091 |   3813.7267 |    210.9824 |
|   42.0000 |       0.0065 |     0.0051 |     0.0013 |        8.2577 |      6.7268 |      1.4997 |     3952.9256 |   3755.2873 |    158.4621 |
|   43.0000 |       0.0068 |     0.0054 |     0.0014 |        8.3930 |      6.8562 |      1.5043 |     3839.9301 |   3695.7039 |    105.7488 |
|   44.0000 |       0.0071 |     0.0056 |     0.0014 |        8.5243 |      6.9835 |      1.5070 |     3725.5032 |   3634.9948 |     52.9066 |
|   45.0000 |       0.0074 |     0.0059 |     0.0015 |        8.6517 |      7.1086 |      1.5080 |     3609.7269 |   3573.1785 |      0.0000 |
|   46.0000 |       0.0077 |     0.0061 |     0.0016 |        8.7750 |      7.2316 |      1.5070 |     3492.6845 |   3510.2737 |    -52.9066 |
|   47.0000 |       0.0080 |     0.0064 |     0.0016 |        8.8942 |      7.3524 |      1.5043 |     3374.4604 |   3446.2997 |   -105.7488 |
|   48.0000 |       0.0083 |     0.0066 |     0.0017 |        9.0093 |      7.4709 |      1.4997 |     3255.1403 |   3381.2758 |   -158.4621 |
|   49.0000 |       0.0086 |     0.0069 |     0.0017 |        9.1203 |      7.5872 |      1.4933 |     3134.8106 |   3315.2221 |   -210.9824 |
|   50.0000 |       0.0089 |     0.0071 |     0.0018 |        9.2270 |      7.7011 |      1.4851 |     3013.5590 |   3248.1584 |   -263.2456 |
|   51.0000 |       0.0093 |     0.0074 |     0.0018 |        9.3295 |      7.8127 |      1.4750 |     2891.4740 |   3180.1054 |   -315.1881 |
|   52.0000 |       0.0096 |     0.0077 |     0.0019 |        9.4278 |      7.9219 |      1.4632 |     2768.6446 |   3111.0836 |   -366.7466 |
|   53.0000 |       0.0099 |     0.0080 |     0.0019 |        9.5218 |      8.0288 |      1.4495 |     2645.1607 |   3041.1142 |   -417.8583 |
|   54.0000 |       0.0102 |     0.0082 |     0.0020 |        9.6115 |      8.1331 |      1.4342 |     2521.1127 |   2970.2185 |   -468.4609 |
|   55.0000 |       0.0106 |     0.0085 |     0.0020 |        9.6969 |      8.2350 |      1.4170 |     2396.5916 |   2898.4179 |   -518.4927 |
|   56.0000 |       0.0109 |     0.0088 |     0.0021 |        9.7779 |      8.3344 |      1.3982 |     2271.6885 |   2825.7345 |   -567.8928 |
|   57.0000 |       0.0113 |     0.0091 |     0.0021 |        9.8546 |      8.4312 |      1.3776 |     2146.4950 |   2752.1904 |   -616.6011 |
