alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
291.5,2643.21,-1099.12,1544.09,-0.315339,1624.18,-503.721,97.2404,-1621.26,-97.2758,1051.42
292,2678.29,-1227.05,1451.23,-0.314206,1525.94,-471.609,106.373,-1522.23,-91.3337,1173.8
292.5,2714.14,-1355.48,1358.66,-0.313048,1428.06,-439.786,113.627,-1423.54,-85.4121,1296.66
293,2750.78,-1484.38,1266.4,-0.311866,1330.59,-408.27,119.008,-1325.25,-79.5152,1419.96
293.5,2788.23,-1613.73,1174.51,-0.31066,1233.56,-377.081,122.528,-1227.45,-73.6473,1543.7
294,2826.52,-1743.51,1083.02,-0.309429,1137.02,-346.238,124.198,-1130.21,-67.8127,1667.84
294.5,2865.67,-1873.7,991.97,-0.308175,1041.01,-315.761,124.033,-1033.6,-62.0159,1792.39
295,2905.69,-2004.28,901.412,-0.306898,945.595,-285.667,122.051,-937.685,-56.2611,1917.3
295.5,2946.62,-2135.24,811.388,-0.305596,850.807,-255.975,118.272,-842.547,-50.5528,2042.57
296,2988.48,-2266.54,721.941,-0.304271,756.7,-226.706,112.716,-748.258,-44.8955,2168.18
296.5,3031.29,-2398.17,633.119,-0.302923,663.321,-197.876,105.41,-654.892,-39.2935,2294.1
297,3075.07,-2530.11,544.968,-0.301552,570.72,-169.505,96.3799,-562.524,-33.7514,2420.31
297.5,3119.86,-2662.33,457.536,-0.300157,478.95,-141.611,85.6559,-471.228,-28.2737,2546.79
298,3165.68,-2794.81,370.872,-0.29874,388.06,-114.212,73.2705,-381.08,-22.8648,2673.53
298.5,3212.57,-2927.54,285.026,-0.297299,298.103,-87.326,59.2589,-292.154,-17.5292,2800.5
299,3260.53,-3060.49,200.049,-0.295836,209.134,-60.9708,43.6592,-204.526,-12.2715,2927.67
299.5,3309.62,-3193.63,115.992,-0.294351,121.205,-35.1638,26.5122,-118.27,-7.09619,3055.04
300,3359.86,-3326.95,32.9095,-0.292843,34.3729,-9.92259,7.86154,-33.4618,-2.00771,3182.57
300.5,3411.27,-3460.42,-49.1452,-0.291313,-51.3069,14.7358,-12.2462,49.8239,2.98944,3310.25
301,3463.9,-3594.02,-130.117,-0.28976,-135.777,38.7945,-33.7617,131.513,7.89075,3438.05
301.5,3517.78,-3727.73,-209.949,-0.288186,-218.98,62.2369,-56.6324,211.53,12.6918,3565.96
302,3572.93,-3861.52,-288.585,-0.28659,-300.856,85.0466,-80.8029,289.802,17.3881,3693.94
302.5,3629.4,-3995.37,-365.965,-0.284972,-381.345,107.208,-106.215,366.254,21.9753,3821.98
303,3687.23,-4129.26,-442.03,-0.283333,-460.386,128.704,-132.806,440.815,26.4489,3950.06
303.5,3746.44,-4263.16,-516.719,-0.281672,-537.917,149.52,-160.513,513.41,30.8046,4078.16
304,3807.09,-4397.06,-589.969,-0.27999,-613.875,169.642,-189.267,583.969,35.0381,4206.24
304.5,3869.2,-4530.92,-661.718,-0.278287,-688.194,189.053,-218.998,652.42,39.1452,4334.29
305,3932.82,-4664.72,-731.9,-0.276563,-760.811,207.74,-249.63,718.692,43.1215,4462.29
305.5,3998,-4798.45,-800.449,-0.274818,-831.658,225.688,-281.087,782.716,46.963,4590.22
306,4064.77,-4932.07,-867.299,-0.273053,-900.666,242.885,-313.287,844.423,50.6654,4718.04
306.5,4133.19,-5065.57,-932.379,-0.271267,-967.768,259.316,-346.148,903.746,54.2248,4845.74
307,4203.29,-5198.91,-995.62,-0.269461,-1032.89,274.968,-379.58,960.618,57.6371,4973.3
307.5,4275.13,-5332.08,-1056.95,-0.267635,-1095.97,289.83,-413.493,1014.97,60.8984,5100.69
308,4348.75,-5465.05,-1116.3,-0.265789,-1156.92,303.889,-447.794,1066.75,64.0049,5227.88
308.5,4424.2,-5597.79,-1173.59,-0.263923,-1215.68,317.134,-482.384,1115.88,66.9528,5354.87
309,4501.54,-5730.29,-1228.74,-0.262037,-1272.17,329.554,-517.162,1162.31,69.7385,5481.61
309.5,4580.82,-5862.51,-1281.69,-0.260132,-1326.31,341.138,-552.023,1205.97,72.3583,5608.1
310,4662.1,-5994.44,-1332.34,-0.258208,-1378.02,351.876,-586.859,1246.81,74.8088,5734.3
310.5,4745.42,-6126.04,-1380.62,-0.256264,-1427.23,361.758,-621.56,1284.78,77.0866,5860.2
311,4830.85,-6257.3,-1426.45,-0.254302,-1473.85,370.777,-656.008,1319.81,79.1885,5985.76
311.5,4918.45,-6388.2,-1469.74,-0.252321,-1517.81,378.923,-690.086,1351.86,81.1113,6110.97
312,5008.28,-6518.7,-1510.42,-0.250321,-1559.01,386.189,-723.671,1380.87,82.8521,6235.81
312.5,5100.4,-6648.78,-1548.38,-0.248303,-1597.37,392.567,-756.637,1406.8,84.4079,6360.24
313,5194.87,-6778.41,-1583.54,-0.246266,-1632.8,398.052,-788.855,1429.6,85.776,6484.26
313.5,5291.77,-6907.58,-1615.82,-0.244212,-1665.23,402.638,-820.192,1449.23,86.9538,6607.82
314,5391.15,-7036.26,-1645.11,-0.242139,-1694.55,406.319,-850.511,1465.65,87.9389,6730.92
314.5,5493.09,-7164.43,-1671.34,-0.240049,-1720.68,409.091,-879.672,1478.82,88.7291,6853.52
315,5597.66,-7292.05,-1694.39,-0.237941,-1743.52,410.95,-907.531,1488.7,89.3221,6975.61
315.5,5704.93,-7419.12,-1714.18,-0.235816,-1762.97,411.895,-933.94,1495.27,89.7162,7097.15
316,5814.98,-7545.59,-1730.61,-0.233674,-1778.96,411.922,-958.75,1498.49,89.9096,7218.14
316.5,5927.88,-7671.45,-1743.57,-0.231514,-1791.36,411.031,-981.806,1498.35,89.9007,7338.54
317,6043.71,-7796.68,-1752.97,-0.229338,-1800.1,409.221,-1002.95,1494.8,89.6883,7458.33
317.5,6162.55,-7921.24,-1758.69,-0.227145,-1805.06,406.493,-1022.02,1487.85,89.2712,7577.49
318,6284.48,-8045.12,-1760.64,-0.224936,-1806.14,402.849,-1038.86,1477.48,88.6485,7695.99
318.5,6409.58,-8168.3,-1758.72,-0.22271,-1803.25,398.29,-1053.29,1463.66,87.8197,7813.82
319,6537.94,-8290.74,-1752.8,-0.220468,-1796.28,392.821,-1065.14,1446.41,86.7843,7930.95
319.5,6669.64,-8412.42,-1742.78,-0.21821,-1785.12,386.446,-1074.25,1425.7,85.5422,8047.36
320,6804.77,-8533.33,-1728.56,-0.215937,-1769.66,379.171,-1080.43,1401.56,84.0935,8163.02
320.5,6943.42,-8653.44,-1710.02,-0.213648,-1749.8,371.003,-1083.5,1373.98,82.4387,8277.91
321,7085.68,-8772.72,-1687.04,-0.211343,-1725.43,361.949,-1083.29,1342.97,80.5784,8392.01
321.5,7231.64,-8891.15,-1659.51,-0.209024,-1696.43,352.018,-1079.61,1308.56,78.5137,8505.31
322,7381.39,-9008.71,-1627.32,-0.206689,-1662.71,341.222,-1072.27,1270.76,76.2459,8617.76
322.5,7535.02,-9125.37,-1590.35,-0.20434,-1624.14,329.571,-1061.08,1229.61,73.7767,8729.36
323,7692.63,-9241.12,-1548.49,-0.201975,-1580.62,317.08,-1045.85,1185.13,71.108,8840.09
323.5,7854.31,-9355.92,-1501.61,-0.199597,-1532.02,303.761,-1026.39,1137.37,68.2423,8949.91
324,8020.16,-9469.76,-1449.6,-0.197204,-1478.25,289.632,-1002.51,1086.37,65.1823,9058.81
324.5,8190.27,-9582.62,-1392.35,-0.194797,-1419.19,274.709,-974.007,1032.18,61.9311,9166.77
325,8364.74,-9694.47,-1329.73,-0.192377,-1354.72,259.012,-940.687,974.871,58.4923,9273.76
325.5,8543.65,-9805.28,-1261.63,-0.189942,-1284.74,242.561,-902.354,914.495,54.8697,9379.77
326,8727.12,-9915.05,-1187.93,-0.187494,-1209.12,225.378,-858.812,851.131,51.0679,9484.77
326.5,8915.21,-10023.7,-1108.53,-0.185033,-1127.78,207.488,-809.866,784.859,47.0915,9588.75
327,9108.04,-10131.3,-1023.3,-0.182559,-1040.59,188.915,-755.32,715.766,42.946,9691.68
327.5,9305.69,-10237.8,-932.134,-0.180071,-947.454,169.689,-694.98,643.95,38.637,9793.54
328,9508.24,-10343.2,-834.927,-0.177571,-848.265,149.837,-628.656,569.513,34.1708,9894.31
328.5,9715.78,-10447.3,-731.57,-0.175059,-742.925,129.392,-556.159,492.57,29.5542,9993.97
329,9928.39,-10550.4,-621.963,-0.172534,-631.336,108.387,-477.302,413.241,24.7944,10092.5
329.5,10146.2,-10652.2,-506.005,-0.169997,-513.406,86.8577,-391.905,331.656,19.8994,10189.9
330,10369.1,-10752.7,-383.605,-0.167448,-389.046,64.841,-299.791,247.956,14.8774,10286.1
