V,P
0.000653881,246085
0.000651978,247091
0.000650074,248105
0.00064817,249126
0.000646266,250154
0.000644362,251189
0.000642458,252232
0.000640554,253282
0.000638651,254340
0.000636747,255405
0.000634843,256478
0.000632939,257559
0.000631035,258647
0.000629131,259744
0.000627228,260848
0.000625324,261961
0.00062342,263081
0.000621516,264210
0.000619612,265348
0.000617708,266493
0.000615805,267647
0.000613901,268810
0.000611997,269982
0.000610093,271162
0.000608189,272351
0.000606285,273549
0.000604382,274756
0.000602478,275972
0.000600574,277198
0.00059867,278433
0.000596766,279677
0.000594862,280931
0.000592959,282195
0.000591055,283468
0.000589151,284751
0.000587247,286045
0.000585343,287348
0.000583439,288662
0.000581536,289986
0.000579632,291320
0.000577728,292665
0.000575824,294020
0.00057392,295387
0.000572016,296764
0.000570113,298152
0.000568209,299552
0.000566305,300963
0.000564401,302385
0.000562497,303819
0.000560593,305264
0.00055869,306722
0.000556786,308191
0.000554882,309672
0.000552978,311166
0.000551074,312672
0.00054917,314191
0.000547266,315722
0.000545363,317266
0.000543459,318823
0.000541555,320393
0.000539651,321977
0.000537747,323574
0.000535843,325185
0.00053394,326809
0.000532036,328447
0.000530132,330100
0.000528228,331767
0.000526324,333448
0.00052442,335144
0.000522517,336855
0.000520613,338581
0.000518709,340322
0.000516805,342078
0.000514901,343850
0.000512997,345638
0.000511094,347442
0.00050919,349262
0.000507286,351099
0.000505382,352952
0.000503478,354822
0.000501574,356709
0.000499671,358613
0.000497767,360535
0.000495863,362474
0.000493959,364431
0.000492055,366407
0.000490151,368401
0.000488248,370414
0.000486344,372445
0.00048444,374496
0.000482536,376566
0.000480632,378656
0.000478728,380766
0.000476825,382896
0.000474921,385047
0.000473017,387218
0.000471113,389411
0.000469209,391625
0.000467305,393860
0.000465402,396118
0.000463498,398397
0.000461594,400700
0.00045969,403025
0.000457786,405373
0.000455882,407746
0.000453978,410141
0.000452075,412562
0.000450171,415006
0.000448267,417476
0.000446363,419971
0.000444459,422492
0.000442555,425039
0.000440652,427612
0.000438748,430212
0.000436844,432839
0.00043494,435494
0.000433036,438176
0.000431132,440888
0.000429229,443628
0.000427325,446398
0.000425421,449197
0.000423517,452026
0.000421613,454887
0.000419709,457778
0.000417806,460701
0.000415902,463656
0.000413998,466644
0.000412094,469665
0.00041019,472720
0.000408286,475808
0.000406383,478932
0.000404479,482091
0.000402575,485286
0.000400671,488517
0.000398767,491786
0.000396863,495092
0.00039496,498436
0.000393056,501819
0.000391152,505242
0.000389248,508705
0.000387344,512209
0.00038544,515754
0.000383537,519342
0.000381633,522973
0.000379729,526647
0.000377825,530366
0.000375921,534131
0.000374017,537941
0.000372114,541798
0.00037021,545703
0.000368306,549656
0.000366402,553659
0.000364498,557711
0.000362594,561815
0.000360691,565971
0.000358787,570180
0.000356883,574443
0.000354979,578761
0.000353075,583135
0.000351171,587566
0.000349267,592054
0.000347364,596602
0.00034546,601210
0.000343556,605880
0.000341652,610612
0.000339748,615408
0.000337844,620268
0.000335941,625195
0.000334037,630189
0.000332133,635252
0.000330229,640386
0.000328325,645590
0.000326421,650868
0.000324518,656220
0.000322614,661648
0.00032071,667153
0.000318806,672738
0.000316902,678403
0.000314998,684150
0.000313095,689981
0.000311191,695898
0.000309287,701903
0.000307383,707997
0.000305479,714182
0.000303575,720460
0.000301672,726834
0.000299768,733304
0.000297864,739875
0.00029596,746546
0.000294056,753322
0.000292152,760204
0.000290249,767194
0.000288345,774295
0.000286441,781509
0.000284537,788840
0.000282633,796289
0.000280729,803859
0.000278826,811554
0.000276922,819376
0.000275018,827328
0.000273114,835414
0.00027121,843635
0.000269306,851997
0.000267403,860501
0.000265499,869152
0.000263595,877953
0.000261691,886908
0.000259787,896021
0.000257883,905296
0.000255979,914736
0.000254076,924347
0.000252172,934131
0.000250268,944095
0.000248364,954242
0.00024646,964578
0.000244556,975107
0.000242653,985835
0.000240749,996766
0.000238845,1.00791e+06
0.000236941,1.01926e+06
0.000235037,1.03084e+06
0.000233133,1.04265e+06
0.00023123,1.05468e+06
0.000229326,1.06696e+06
0.000227422,1.07949e+06
0.000225518,1.09227e+06
0.000223614,1.10531e+06
0.00022171,1.11862e+06
0.000219807,1.13221e+06
0.000217903,1.14608e+06
0.000215999,1.16025e+06
0.000214095,1.17472e+06
0.000212191,1.1895e+06
0.000210287,1.2046e+06
0.000208384,1.22004e+06
0.00020648,1.23582e+06
0.000204576,1.25195e+06
0.000202672,1.26845e+06
0.000200768,1.28532e+06
0.000198864,1.30258e+06
0.000196961,1.32024e+06
0.000195057,1.33831e+06
0.000193153,1.35682e+06
0.000191249,1.37576e+06
0.000189345,1.39517e+06
0.000187441,1.41505e+06
0.000185538,1.43542e+06
0.000183634,1.4563e+06
0.00018173,1.4777e+06
0.000179826,1.49965e+06
0.000177922,1.52216e+06
0.000176018,1.54526e+06
0.000174115,1.56897e+06
0.000172211,1.59331e+06
0.000170307,1.6183e+06
0.000168403,1.64397e+06
0.000166499,1.67035e+06
0.000164595,1.69746e+06
0.000162691,1.72533e+06
0.000160788,1.754e+06
0.000158884,1.78349e+06
0.00015698,1.81385e+06
0.000155076,1.8451e+06
0.000153172,1.87729e+06
0.000151268,1.91045e+06
0.000149365,1.94463e+06
0.000147461,1.97987e+06
0.000145557,2.01622e+06
0.000143653,2.05372e+06
0.000141749,2.09244e+06
0.000139845,2.13243e+06
0.000137942,2.17375e+06
0.000136038,2.21646e+06
0.000134134,2.26063e+06
0.00013223,2.30633e+06
0.000130326,2.35363e+06
0.000128422,2.40262e+06
0.000126519,2.45339e+06
0.000124615,2.50603e+06
0.000122711,2.56063e+06
0.000120807,2.6173e+06
0.000118903,2.67616e+06
0.000116999,2.73732e+06
0.000115096,2.80092e+06
0.000113192,2.8671e+06
0.000111288,2.936e+06
0.000109384,3.00779e+06
0.00010748,3.08264e+06
0.000105576,3.16075e+06
0.000103673,3.2423e+06
0.000103673,3.2423e+06
0.000103673,6.48461e+06
0.000103673,6.48461e+06
0.000145142,6.48461e+06
0.000145142,6.48461e+06
0.000146976,6.37958e+06
0.000148811,6.27752e+06
0.000150645,6.17832e+06
0.00015248,6.08186e+06
0.000154315,5.98803e+06
0.000156149,5.89673e+06
0.000157984,5.80787e+06
0.000159818,5.72135e+06
0.000161653,5.63708e+06
0.000163488,5.55498e+06
0.000165322,5.47498e+06
0.000167157,5.39699e+06
0.000168991,5.32095e+06
0.000170826,5.24678e+06
0.000172661,5.17442e+06
0.000174495,5.10381e+06
0.00017633,5.03488e+06
0.000178164,4.96759e+06
0.000179999,4.90187e+06
0.000181834,4.83767e+06
0.000183668,4.77495e+06
0.000185503,4.71365e+06
0.000187338,4.65373e+06
0.000189172,4.59514e+06
0.000191007,4.53785e+06
0.000192841,4.4818e+06
0.000194676,4.42698e+06
0.000196511,4.37332e+06
0.000198345,4.32081e+06
0.00020018,4.2694e+06
0.000202014,4.21906e+06
0.000203849,4.16977e+06
0.000205684,4.12148e+06
0.000207518,4.07418e+06
0.000209353,4.02783e+06
0.000211187,3.9824e+06
0.000213022,3.93787e+06
0.000214857,3.89421e+06
0.000216691,3.85141e+06
0.000218526,3.80943e+06
0.00022036,3.76825e+06
0.000222195,3.72785e+06
0.00022403,3.68821e+06
0.000225864,3.64932e+06
0.000227699,3.61114e+06
0.000229533,3.57366e+06
0.000231368,3.53687e+06
0.000233203,3.50074e+06
0.000235037,3.46526e+06
0.000236872,3.43041e+06
0.000238706,3.39617e+06
0.000240541,3.36254e+06
0.000242376,3.32949e+06
0.00024421,3.29701e+06
