alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
92,1194.59,4658.35,5852.94,0.339622,6207.51,2067.91,-2270.91,5777.21,317.746,-2420.4
92.5,1194.59,4756.36,5950.95,0.3395,6311.19,2101.73,-2359.3,5853.61,321.949,-2471.33
93,1194.59,4853.08,6047.67,0.339352,6413.43,2134.88,-2448.46,5927.65,326.021,-2521.58
93.5,1194.59,4948.5,6143.09,0.339178,6514.22,2167.36,-2538.34,5999.32,329.963,-2571.16
94,1194.59,5042.62,6237.21,0.338976,6613.55,2199.15,-2628.88,6068.62,333.774,-2620.06
94.5,1194.59,5135.44,6330.03,0.338747,6711.43,2230.25,-2720.02,6135.53,337.454,-2668.29
95,1194.59,5226.94,6421.53,0.338492,6807.83,2260.64,-2811.71,6200.07,341.004,-2715.83
95.5,1194.59,5317.13,6511.72,0.33821,6902.76,2290.33,-2903.9,6262.22,344.422,-2762.69
96,1194.59,5406,6600.59,0.337901,6996.21,2319.29,-2996.54,6322,347.71,-2808.87
96.5,1194.59,5493.55,6688.14,0.337565,7088.16,2347.53,-3089.56,6379.4,350.867,-2854.36
97,1194.59,5579.76,6774.36,0.337203,7178.63,2375.04,-3182.92,6434.42,353.893,-2899.15
97.5,1194.59,5664.65,6859.25,0.336814,7267.59,2401.81,-3276.57,6487.07,356.789,-2943.26
98,1194.59,5748.21,6942.8,0.336398,7355.06,2427.83,-3370.45,6537.35,359.554,-2986.68
98.5,1194.59,5830.44,7025.03,0.335956,7441.01,2453.09,-3464.51,6585.27,362.19,-3029.4
99,1194.59,5911.33,7105.92,0.335487,7525.46,2477.6,-3558.71,6630.85,364.697,-3071.43
99.5,1194.59,5990.88,7185.47,0.334992,7608.4,2501.35,-3652.99,6674.08,367.075,-3112.76
100,1194.59,6069.09,7263.68,0.334471,7689.82,2524.33,-3747.31,6714.99,369.324,-3153.4
100.5,1194.59,6145.97,7340.56,0.333923,7769.73,2546.54,-3841.61,6753.57,371.446,-3193.34
101,1194.59,6221.51,7416.1,0.333348,7848.12,2567.98,-3935.85,6789.85,373.442,-3232.59
101.5,1194.59,6295.71,7490.3,0.332748,7925,2588.63,-4029.99,6823.84,375.311,-3271.15
102,1194.59,6368.57,7563.16,0.332121,8000.35,2608.51,-4123.97,6855.54,377.055,-3309
102.5,1194.59,6440.09,7634.68,0.331469,8074.19,2627.6,-4217.76,6884.99,378.674,-3346.16
103,1194.59,6510.27,7704.87,0.33079,8146.52,2645.91,-4311.31,6912.19,380.17,-3382.63
103.5,1194.59,6579.13,7773.72,0.330085,8217.33,2663.43,-4404.58,6937.16,381.544,-3418.41
104,1194.59,6646.65,7841.24,0.329354,8286.63,2680.16,-4497.52,6959.93,382.796,-3453.49
104.5,1194.59,6712.83,7907.42,0.328597,8354.42,2696.1,-4590.09,6980.5,383.928,-3487.88
105,1194.59,6777.7,7972.29,0.327815,8420.7,2711.26,-4682.25,6998.91,384.94,-3521.58
105.5,1194.59,6841.23,8035.82,0.327007,8485.48,2725.62,-4773.97,7015.17,385.834,-3554.59
106,1194.59,6903.45,8098.04,0.326173,8548.77,2739.2,-4865.21,7029.31,386.612,-3586.92
106.5,1194.59,6964.34,8158.93,0.325314,8610.55,2751.99,-4955.92,7041.34,387.274,-3618.56
107,1194.59,7023.92,8218.51,0.32443,8670.85,2763.99,-5046.08,7051.29,387.821,-3649.52
107.5,1194.59,7082.2,8276.79,0.32352,8729.66,2775.21,-5135.64,7059.19,388.256,-3679.79
108,1194.59,7139.17,8333.76,0.322585,8787,2785.64,-5224.58,7065.06,388.578,-3709.39
108.5,1194.59,7194.83,8389.42,0.321624,8842.86,2795.3,-5312.85,7068.93,388.791,-3738.32
109,1194.59,7249.21,8443.8,0.320639,8897.25,2804.17,-5400.43,7070.82,388.895,-3766.57
109.5,1194.59,7302.29,8496.88,0.319628,8950.19,2812.27,-5487.28,7070.76,388.892,-3794.15
110,1194.59,7354.1,8548.69,0.318593,9001.68,2819.6,-5573.38,7068.78,388.783,-3821.07
110.5,1194.59,7404.62,8599.21,0.317533,9051.72,2826.17,-5658.7,7064.9,388.569,-3847.32
111,1194.59,7453.88,8648.47,0.316449,9100.33,2831.96,-5743.2,7059.16,388.254,-3872.91
111.5,1194.59,7501.87,8696.46,0.315339,9147.52,2837,-5826.86,7051.58,387.837,-3897.85
112,1194.59,7548.61,8743.2,0.314206,9193.29,2841.29,-5909.66,7042.19,387.321,-3922.13
