alpha_deg,M_Nm,M_minus_Ms_Nm,A_cum_J
328,-29.5277,-112.266,-761.531
328.5,-33.7717,-116.51,-762.529
329,-38.1332,-120.872,-763.565
329.5,-42.6046,-125.343,-764.639
330,-47.178,-129.917,-765.753
330.5,-51.8447,-134.583,-766.907
331,-56.5955,-139.334,-768.102
331.5,-61.4209,-144.159,-769.339
332,-66.3104,-149.049,-770.619
332.5,-71.2531,-153.992,-771.941
333,-76.2376,-158.976,-773.306
333.5,-81.2516,-163.99,-774.716
334,-86.2824,-169.021,-776.169
334.5,-91.3167,-174.055,-777.666
335,-96.3405,-179.079,-779.207
335.5,-101.339,-184.078,-780.791
336,-106.297,-189.036,-782.419
336.5,-111.199,-193.938,-784.09
337,-116.028,-198.767,-785.804
337.5,-120.768,-203.507,-787.559
338,-125.401,-208.139,-789.355
338.5,-129.908,-212.647,-791.191
339,-134.272,-217.011,-793.066
339.5,-138.473,-221.212,-794.978
340,-142.493,-225.231,-796.926
340.5,-146.311,-229.049,-798.908
341,-149.907,-232.646,-800.923
341.5,-153.263,-236.001,-802.967
342,-156.357,-239.095,-805.04
342.5,-159.17,-241.908,-807.139
343,-161.681,-244.419,-809.261
343.5,-163.871,-246.609,-811.404
344,-165.72,-248.459,-813.564
344.5,-167.21,-249.948,-815.739
345,-168.321,-251.06,-817.925
345.5,-169.038,-251.776,-820.119
346,-169.342,-252.08,-822.317
346.5,-169.218,-251.956,-824.516
347,-168.652,-251.39,-826.713
347.5,-167.63,-250.369,-828.902
348,-166.142,-248.88,-831.08
348.5,-164.176,-246.915,-833.244
349,-161.727,-244.465,-835.388
349.5,-158.786,-241.525,-837.508
350,-155.352,-238.09,-839.601
350.5,-151.422,-234.16,-841.662
351,-146.997,-229.736,-843.686
351.5,-142.082,-224.82,-845.669
352,-136.681,-219.42,-847.607
352.5,-130.806,-213.544,-849.497
353,-124.466,-207.205,-851.333
353.5,-117.678,-200.416,-853.111
354,-110.457,-193.196,-854.829
354.5,-102.826,-185.564,-856.481
355,-94.8055,-177.544,-858.066
355.5,-86.4226,-169.161,-859.578
356,-77.7053,-160.444,-861.017
356.5,-68.684,-151.423,-862.377
357,-59.3915,-142.13,-863.658
357.5,-49.8627,-132.601,-864.857
358,-40.134,-122.873,-865.972
358.5,-30.2437,-112.982,-867.001
359,-20.2309,-102.97,-867.943
359.5,-10.1361,-92.8747,-868.798
360,0,-82.7386,-869.564
360.5,28.4122,-54.3264,-870.162
361,56.8242,-25.9144,-870.512
361.5,85.2359,2.49728,-870.614
362,113.647,30.9083,-870.468
362.5,142.057,59.3186,-870.075
363,170.467,87.728,-869.433
363.5,198.875,116.136,-868.544
364,227.281,144.543,-867.406
364.5,255.686,172.948,-866.021
365,284.09,201.351,-864.388
365.5,312.49,229.752,-862.507
366,340.889,258.15,-860.378
366.5,369.284,286.546,-858.001
367,397.677,314.938,-855.377
367.5,426.065,343.327,-852.504
368,454.45,371.712,-849.384
368.5,482.831,400.092,-846.017
369,511.206,428.467,-842.401
369.5,539.576,456.838,-838.539
370,567.94,485.202,-834.428
370.5,596.298,513.559,-830.07
371,624.649,541.91,-825.465
371.5,652.991,570.253,-820.612
372,681.326,598.587,-815.512
372.5,709.651,626.912,-810.165
373,737.966,655.227,-804.571
373.5,766.27,683.532,-798.729
374,794.563,711.824,-792.641
374.5,822.843,740.104,-786.305
375,851.109,768.37,-779.724
375.5,879.36,796.622,-772.895
376,907.596,824.857,-765.82
376.5,935.814,853.076,-758.499
377,964.015,881.276,-750.931
377.5,992.196,909.457,-743.117
378,1001.08,918.338,-735.142
378.5,1005.59,922.853,-727.108
379,1009.09,926.353,-719.04
379.5,1011.62,928.883,-710.945
380,1013.23,930.489,-702.832
380.5,1013.95,931.216,-694.709
381,1013.85,931.111,-686.583
381.5,1012.96,930.217,-678.461
382,1011.32,928.58,-670.351
382.5,1008.98,926.245,-662.257
383,1005.99,923.253,-654.187
383.5,1002.39,919.649,-646.146
384,998.21,915.472,-638.139
384.5,993.502,910.764,-630.17
385,988.301,905.563,-622.245
385.5,982.646,899.908,-614.367
386,976.574,893.835,-606.541
